"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
CAL,"8/1/2020 12 a.m. PDT",4340,30,648,821,88,14297,591,1100
CAL,"8/1/2020 1 a.m. PDT",4525,29,548,843,88,12634,550,1098
CAL,"8/1/2020 2 a.m. PDT",4344,29,540,847,88,10875,550,1100
CAL,"8/1/2020 3 a.m. PDT",3889,29,546,812,89,10526,550,1100
CAL,"8/1/2020 4 a.m. PDT",3652,27,503,770,88,10213,552,1098
CAL,"8/1/2020 5 a.m. PDT",3209,27,507,750,88,10205,554,1095
CAL,"8/1/2020 6 a.m. PDT",3019,27,614,740,88,10509,552,1094
CAL,"8/1/2020 7 a.m. PDT",2602,3009,728,781,88,9464,777,1099
CAL,"8/1/2020 8 a.m. PDT",2448,7943,572,748,88,8876,832,1100
CAL,"8/1/2020 9 a.m. PDT",2139,10628,563,726,89,9138,824,1101
CAL,"8/1/2020 10 a.m. PDT",1796,11767,549,728,89,9014,821,1102
CAL,"8/1/2020 11 a.m. PDT",1511,12363,621,742,89,9585,821,1102
CAL,"8/1/2020 12 p.m. PDT",1682,12574,749,752,88,10830,1011,1103
CAL,"8/1/2020 1 p.m. PDT",2022,12483,870,769,88,12647,1232,1103
CAL,"8/1/2020 2 p.m. PDT",2492,12424,929,798,88,14366,1302,1101
CAL,"8/1/2020 3 p.m. PDT",2657,12084,1061,783,89,15599,1305,1101
CAL,"8/1/2020 4 p.m. PDT",2773,11362,1132,802,88,17528,1395,1100
CAL,"8/1/2020 5 p.m. PDT",3322,10173,1219,807,87,18131,1632,1099
CAL,"8/1/2020 6 p.m. PDT",3341,7408,1388,824,88,20776,1606,1136
CAL,"8/1/2020 7 p.m. PDT",3153,2232,1635,855,88,23032,1605,1137
CAL,"8/1/2020 8 p.m. PDT",3393,75,1905,856,88,22413,1602,1137
CAL,"8/1/2020 9 p.m. PDT",3914,22,1740,836,88,20649,1430,1137
CAL,"8/1/2020 10 p.m. PDT",4336,28,1475,840,88,18965,1257,1138
CAL,"8/1/2020 11 p.m. PDT",4705,28,1012,843,88,15713,686,1104
CAL,"8/2/2020 12 a.m. PDT",4875,28,965,841,88,12995,552,1104
CAL,"8/2/2020 1 a.m. PDT",4665,28,610,790,89,10844,551,1103
CAL,"8/2/2020 2 a.m. PDT",4499,28,674,789,89,9412,550,1102
CAL,"8/2/2020 3 a.m. PDT",4560,28,640,756,88,8413,550,1101
CAL,"8/2/2020 4 a.m. PDT",4222,27,482,736,88,8446,552,1100
CAL,"8/2/2020 5 a.m. PDT",3795,27,495,738,88,9110,554,1101
CAL,"8/2/2020 6 a.m. PDT",3461,27,493,766,89,9085,559,1100
CAL,"8/2/2020 7 a.m. PDT",3443,2869,577,671,89,7666,682,1100
CAL,"8/2/2020 8 a.m. PDT",2974,7882,504,584,88,6809,689,1099
CAL,"8/2/2020 9 a.m. PDT",2759,10564,516,579,88,6727,672,1136
CAL,"8/2/2020 10 a.m. PDT",2503,11678,528,576,88,6608,677,1135
CAL,"8/2/2020 11 a.m. PDT",2742,12217,544,587,88,7007,724,1137
CAL,"8/2/2020 12 p.m. PDT",3092,12509,664,588,88,8015,743,1138
CAL,"8/2/2020 1 p.m. PDT",3735,12479,876,600,88,9431,945,1279
CAL,"8/2/2020 2 p.m. PDT",3813,12321,1046,600,88,11146,1081,1301
CAL,"8/2/2020 3 p.m. PDT",4193,11960,1166,657,88,13491,1082,1301
CAL,"8/2/2020 4 p.m. PDT",4391,11206,1196,677,88,15061,1082,1423
CAL,"8/2/2020 5 p.m. PDT",4487,10009,1399,674,88,16505,1133,1502
CAL,"8/2/2020 6 p.m. PDT",4362,7336,1628,681,88,17768,1365,1521
CAL,"8/2/2020 7 p.m. PDT",4342,2267,2003,684,88,19844,1329,1519
CAL,"8/2/2020 8 p.m. PDT",4429,1871,1978,681,89,20015,1326,1521
CAL,"8/2/2020 9 p.m. PDT",4493,11,1881,681,88,18729,1227,1542
CAL,"8/2/2020 10 p.m. PDT",4528,11,1713,693,88,16512,1102,1538
CAL,"8/2/2020 11 p.m. PDT",4358,9,1390,702,88,14209,701,1567
CAL,"8/3/2020 12 a.m. PDT",4453,7,947,686,89,12254,554,1566
CAL,"8/3/2020 1 a.m. PDT",4388,7,577,648,88,10068,549,1563
CAL,"8/3/2020 2 a.m. PDT",4262,7,543,592,89,8984,548,1582
CAL,"8/3/2020 3 a.m. PDT",3936,7,524,606,88,8498,548,1621
CAL,"8/3/2020 4 a.m. PDT",4091,6,510,621,88,8146,551,1743
CAL,"8/3/2020 5 a.m. PDT",4159,6,523,613,89,8045,551,1961
CAL,"8/3/2020 6 a.m. PDT",3987,3,507,591,89,8838,567,2131
CAL,"8/3/2020 7 a.m. PDT",3641,2567,747,623,89,9137,692,2215
CAL,"8/3/2020 8 a.m. PDT",3346,7588,566,613,89,8466,696,2222
CAL,"8/3/2020 9 a.m. PDT",3555,10493,546,596,88,8285,735,2222
CAL,"8/3/2020 10 a.m. PDT",3100,11706,546,586,88,8358,741,2227
CAL,"8/3/2020 11 a.m. PDT",3264,12305,638,592,88,8794,745,2241
CAL,"8/3/2020 12 p.m. PDT",3380,12565,767,603,89,10635,834,2235
CAL,"8/3/2020 1 p.m. PDT",3500,12582,919,620,88,12232,1016,2240
CAL,"8/3/2020 2 p.m. PDT",3770,12449,1155,681,89,14003,1161,2241
CAL,"8/3/2020 3 p.m. PDT",4193,12115,1223,707,88,17962,1163,2249
CAL,"8/3/2020 4 p.m. PDT",4735,11319,1712,711,89,19332,1178,2250
CAL,"8/3/2020 5 p.m. PDT",4846,9984,1718,713,89,20024,1415,2252
CAL,"8/3/2020 6 p.m. PDT",4998,6954,1920,713,89,21996,1747,2251
CAL,"8/3/2020 7 p.m. PDT",4951,2193,1882,721,89,23736,1785,2251
CAL,"8/3/2020 8 p.m. PDT",5018,59,1869,734,89,22965,1739,2250
CAL,"8/3/2020 9 p.m. PDT",5008,8,1475,752,88,19614,1517,2252
CAL,"8/3/2020 10 p.m. PDT",4807,8,1395,747,88,16825,1117,2253
CAL,"8/3/2020 11 p.m. PDT",4917,6,1081,758,88,15134,649,2253
CAL,"8/4/2020 12 a.m. PDT",4752,6,852,731,89,12596,553,2252
CAL,"8/4/2020 1 a.m. PDT",4924,7,656,688,88,9380,550,2253
CAL,"8/4/2020 2 a.m. PDT",4743,7,705,667,88,8303,552,2252
CAL,"8/4/2020 3 a.m. PDT",4589,7,702,663,89,7629,551,2254
CAL,"8/4/2020 4 a.m. PDT",4358,6,697,667,88,7378,553,2254
CAL,"8/4/2020 5 a.m. PDT",4169,6,750,665,89,7530,553,2256
CAL,"8/4/2020 6 a.m. PDT",3714,5,736,682,89,8666,565,2254
CAL,"8/4/2020 7 a.m. PDT",3355,2524,876,704,89,8542,650,2255
CAL,"8/4/2020 8 a.m. PDT",2949,7780,684,631,89,8452,683,2256
CAL,"8/4/2020 9 a.m. PDT",2694,10487,537,633,88,8186,697,2257
CAL,"8/4/2020 10 a.m. PDT",2747,11714,542,640,88,7917,697,2253
CAL,"8/4/2020 11 a.m. PDT",2963,12266,561,642,89,8013,701,2257
CAL,"8/4/2020 12 p.m. PDT",3196,12512,711,658,89,8815,850,2257
