"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
CAL,"12/1/2020 12 a.m. PST",1277,21,1178,841,46,9590,1052,2270
CAL,"12/1/2020 1 a.m. PST",1027,19,1066,785,46,9563,1165,2267
CAL,"12/1/2020 2 a.m. PST",1063,19,1015,688,46,9505,1111,2267
CAL,"12/1/2020 3 a.m. PST",889,19,1017,672,46,9372,999,2269
CAL,"12/1/2020 4 a.m. PST",922,19,1098,675,52,9817,1009,2269
CAL,"12/1/2020 5 a.m. PST",1037,19,1272,719,80,10866,1244,2270
CAL,"12/1/2020 6 a.m. PST",890,19,1710,798,80,12754,1650,2270
CAL,"12/1/2020 7 a.m. PST",665,829,2176,761,80,14120,1667,2269
CAL,"12/1/2020 8 a.m. PST",290,5361,1548,707,80,12885,1621,2269
CAL,"12/1/2020 9 a.m. PST",250,9284,1201,664,80,9476,1295,2268
CAL,"12/1/2020 10 a.m. PST",536,9431,1031,631,87,8109,928,2266
CAL,"12/1/2020 11 a.m. PST",406,9576,1061,626,89,7717,858,2267
CAL,"12/1/2020 12 p.m. PST",385,9128,1006,612,90,7670,859,2273
CAL,"12/1/2020 1 p.m. PST",449,9188,1040,621,89,8184,859,2268
CAL,"12/1/2020 2 p.m. PST",534,9300,1083,617,89,8415,911,2265
CAL,"12/1/2020 3 p.m. PST",522,7316,1245,627,89,9561,1027,2267
CAL,"12/1/2020 4 p.m. PST",614,1634,1950,791,89,12934,1379,2266
CAL,"12/1/2020 5 p.m. PST",576,80,2659,776,90,16049,1648,2266
CAL,"12/1/2020 6 p.m. PST",593,17,3053,817,89,17047,1684,2268
CAL,"12/1/2020 7 p.m. PST",559,21,3075,799,90,16197,1703,2266
CAL,"12/1/2020 8 p.m. PST",548,22,2756,773,90,15505,1703,2268
CAL,"12/1/2020 9 p.m. PST",524,22,2004,766,89,14729,1711,2268
CAL,"12/1/2020 10 p.m. PST",514,21,1556,774,90,13726,1732,2269
CAL,"12/1/2020 11 p.m. PST",416,21,1358,862,89,12285,1569,2268
CAL,"12/2/2020 12 a.m. PST",351,20,1173,733,88,11881,1547,2270
CAL,"12/2/2020 1 a.m. PST",339,18,1109,701,89,11407,1334,2270
CAL,"12/2/2020 2 a.m. PST",364,18,1056,709,89,10971,1039,2270
CAL,"12/2/2020 3 a.m. PST",368,16,1039,710,89,10947,1030,2269
CAL,"12/2/2020 4 a.m. PST",378,16,1234,707,89,11091,1032,2268
CAL,"12/2/2020 5 a.m. PST",582,15,1532,743,88,11903,1213,2269
CAL,"12/2/2020 6 a.m. PST",661,15,1767,759,89,12812,1675,2269
CAL,"12/2/2020 7 a.m. PST",605,875,1910,807,88,13854,1706,2269
CAL,"12/2/2020 8 a.m. PST",440,5565,1491,767,89,11705,1672,2269
CAL,"12/2/2020 9 a.m. PST",462,8684,1338,736,89,10249,1236,2197
CAL,"12/2/2020 10 a.m. PST",510,9154,1164,727,88,9329,719,2070
CAL,"12/2/2020 11 a.m. PST",575,9203,1255,712,88,9343,608,1808
CAL,"12/2/2020 12 p.m. PST",691,8730,1106,699,88,9206,626,1510
CAL,"12/2/2020 1 p.m. PST",733,8877,1087,696,83,8875,636,1208
CAL,"12/2/2020 2 p.m. PST",787,9313,1064,704,87,8910,797,1143
CAL,"12/2/2020 3 p.m. PST",765,6767,1357,775,85,10409,1042,1142
CAL,"12/2/2020 4 p.m. PST",853,1486,1808,749,85,14204,1450,1142
CAL,"12/2/2020 5 p.m. PST",713,56,2456,788,57,18005,1650,1142
CAL,"12/2/2020 6 p.m. PST",814,38,3002,839,83,17904,1775,1141
CAL,"12/2/2020 7 p.m. PST",839,21,3006,831,78,16962,1757,1141
CAL,"12/2/2020 8 p.m. PST",1204,22,2665,827,85,16502,1698,1143
CAL,"12/2/2020 9 p.m. PST",1137,22,2342,763,85,15465,1669,1140
CAL,"12/2/2020 10 p.m. PST",1213,21,1866,788,85,14162,1580,1143
CAL,"12/2/2020 11 p.m. PST",1029,21,1273,783,86,13012,1381,1142
CAL,"12/3/2020 12 a.m. PST",1010,20,1273,769,85,11830,1130,1143
CAL,"12/3/2020 1 a.m. PST",878,19,1250,710,85,10933,977,1140
CAL,"12/3/2020 2 a.m. PST",810,19,1242,708,58,10660,783,1143
CAL,"12/3/2020 3 a.m. PST",662,17,1206,707,87,10612,748,1143
CAL,"12/3/2020 4 a.m. PST",522,17,1293,705,87,11220,744,1144
CAL,"12/3/2020 5 a.m. PST",548,16,1526,707,87,12085,866,1144
CAL,"12/3/2020 6 a.m. PST",744,16,1915,750,87,13476,1317,1143
CAL,"12/3/2020 7 a.m. PST",671,775,2176,813,88,13901,1538,1143
CAL,"12/3/2020 8 a.m. PST",553,5700,1594,749,89,11356,1383,1145
