"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
CAL,"3/1/2020 12 a.m. PST",2944,8,244,534,90,6086,661,2261
CAL,"3/1/2020 1 a.m. PST",3288,6,235,529,91,5189,661,2262
CAL,"3/1/2020 2 a.m. PST",3028,3,234,505,91,5774,660,2262
CAL,"3/1/2020 3 a.m. PST",3170,3,227,494,90,5594,660,2264
CAL,"3/1/2020 4 a.m. PST",3419,3,223,504,90,5270,662,2263
CAL,"3/1/2020 5 a.m. PST",2660,3,230,509,91,5520,664,2263
CAL,"3/1/2020 6 a.m. PST",2747,3,236,571,46,5676,663,2263
CAL,"3/1/2020 7 a.m. PST",2497,1423,415,589,46,5091,661,2264
CAL,"3/1/2020 8 a.m. PST",2039,5398,403,592,46,3305,659,2264
CAL,"3/1/2020 9 a.m. PST",1824,7209,268,618,46,3112,660,2265
CAL,"3/1/2020 10 a.m. PST",1744,7974,246,620,46,3025,662,2265
CAL,"3/1/2020 11 a.m. PST",1865,8264,211,633,46,2965,662,2266
CAL,"3/1/2020 12 p.m. PST",1883,7768,220,656,46,2910,661,2266
CAL,"3/1/2020 1 p.m. PST",2106,6754,201,613,46,3021,660,2266
CAL,"3/1/2020 2 p.m. PST",2662,6325,202,610,46,3004,660,2266
CAL,"3/1/2020 3 p.m. PST",2724,5406,224,607,46,3489,661,2267
CAL,"3/1/2020 4 p.m. PST",2130,3986,235,634,46,4817,661,2267
CAL,"3/1/2020 5 p.m. PST",1842,1098,494,634,46,7460,661,2266
CAL,"3/1/2020 6 p.m. PST",1889,61,1227,640,46,9364,662,2265
CAL,"3/1/2020 7 p.m. PST",2246,26,1375,600,46,9432,659,2265
CAL,"3/1/2020 8 p.m. PST",2289,7,1262,607,46,9621,661,2266
CAL,"3/1/2020 9 p.m. PST",2036,7,1079,602,46,9467,661,2266
CAL,"3/1/2020 10 p.m. PST",1917,6,945,612,46,8772,661,2264
CAL,"3/1/2020 11 p.m. PST",1924,6,360,598,46,8042,662,2266
CAL,"3/2/2020 12 a.m. PST",2007,6,290,598,46,7260,663,2267
CAL,"3/2/2020 1 a.m. PST",2045,6,256,589,46,6932,663,2267
CAL,"3/2/2020 2 a.m. PST",1999,4,251,590,46,6645,661,2266
CAL,"3/2/2020 3 a.m. PST",2188,4,238,583,46,6460,663,2265
CAL,"3/2/2020 4 a.m. PST",2160,4,258,591,46,6643,662,2266
