"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
CAL,"9/1/2020 12 a.m. PDT",3846,4,2268,807,88,11351,556,2243
CAL,"9/1/2020 1 a.m. PDT",3889,4,2068,784,88,9683,555,2245
CAL,"9/1/2020 2 a.m. PDT",3531,4,1821,774,88,8668,552,2244
CAL,"9/1/2020 3 a.m. PDT",3236,3,1442,755,87,8945,550,2246
CAL,"9/1/2020 4 a.m. PDT",2752,3,1574,773,88,9730,554,2246
CAL,"9/1/2020 5 a.m. PDT",2409,3,1783,904,87,10627,558,2246
CAL,"9/1/2020 6 a.m. PDT",2073,3,2447,800,87,11678,564,2248
CAL,"9/1/2020 7 a.m. PDT",1613,1039,2810,804,87,11444,649,2251
CAL,"9/1/2020 8 a.m. PDT",1293,5173,2044,791,87,10173,725,2253
CAL,"9/1/2020 9 a.m. PDT",1115,8806,1272,749,88,9742,664,2257
CAL,"9/1/2020 10 a.m. PDT",985,10610,1316,751,87,9665,654,2247
CAL,"9/1/2020 11 a.m. PDT",859,11507,1325,736,87,9826,654,2249
CAL,"9/1/2020 12 p.m. PDT",1022,11836,1341,738,87,10092,651,2251
CAL,"9/1/2020 1 p.m. PDT",1160,11917,1986,752,88,10358,653,2258
CAL,"9/1/2020 2 p.m. PDT",1465,11735,2189,753,86,11872,668,2254
CAL,"9/1/2020 3 p.m. PDT",1748,11352,2853,770,86,13190,833,2246
CAL,"9/1/2020 4 p.m. PDT",1833,10376,3346,801,86,14258,985,2244
CAL,"9/1/2020 5 p.m. PDT",2273,8268,4565,837,86,15090,1074,2246
CAL,"9/1/2020 6 p.m. PDT",2377,3714,5711,846,87,17621,1393,2245
CAL,"9/1/2020 7 p.m. PDT",2813,267,6134,859,87,18557,1591,2244
CAL,"9/1/2020 8 p.m. PDT",3214,127,5642,810,87,17293,1528,2244
CAL,"9/1/2020 9 p.m. PDT",3187,2,4803,806,87,16966,1522,2247
CAL,"9/1/2020 10 p.m. PDT",3117,2,3005,834,88,15659,1244,2248
CAL,"9/1/2020 11 p.m. PDT",2727,5,2357,804,87,14357,756,2251
CAL,"9/2/2020 12 a.m. PDT",2528,5,2214,823,88,12579,554,2253
CAL,"9/2/2020 1 a.m. PDT",2492,5,1886,767,88,11310,552,2257
CAL,"9/2/2020 2 a.m. PDT",2486,5,1800,754,88,10191,552,2255
CAL,"9/2/2020 3 a.m. PDT",2519,4,1448,715,88,10048,553,2251
CAL,"9/2/2020 4 a.m. PDT",2705,4,1444,713,88,9916,554,2250
CAL,"9/2/2020 5 a.m. PDT",2605,4,1622,705,88,9935,557,2248
CAL,"9/2/2020 6 a.m. PDT",2385,4,2020,731,88,10708,574,2248
CAL,"9/2/2020 7 a.m. PDT",1893,1230,2078,768,87,10954,805,2248
CAL,"9/2/2020 8 a.m. PDT",1370,6028,1430,757,87,10529,900,2253
CAL,"9/2/2020 9 a.m. PDT",1173,9630,1458,727,88,10070,825,2254
CAL,"9/2/2020 10 a.m. PDT",809,11180,1684,724,88,9948,761,2258
CAL,"9/2/2020 11 a.m. PDT",614,11818,1546,701,88,9997,755,2259
CAL,"9/2/2020 12 p.m. PDT",648,11996,1431,714,88,10453,782,2258
CAL,"9/2/2020 1 p.m. PDT",568,11998,1896,746,88,10946,780,2258
CAL,"9/2/2020 2 p.m. PDT",729,11911,2503,776,88,12274,798,2257
CAL,"9/2/2020 3 p.m. PDT",1027,11477,2713,790,87,14069,987,2257
CAL,"9/2/2020 4 p.m. PDT",1542,10627,3275,798,87,14919,1163,2252
CAL,"9/2/2020 5 p.m. PDT",2315,8578,4509,795,88,16224,1268,2255
CAL,"9/2/2020 6 p.m. PDT",2972,3825,5697,801,88,17765,1468,2255
CAL,"9/2/2020 7 p.m. PDT",3348,270,5958,831,87,19125,1480,2257
CAL,"9/2/2020 8 p.m. PDT",3818,140,5836,767,88,17983,1323,2258
CAL,"9/2/2020 9 p.m. PDT",3857,7,4807,763,87,17238,1045,2258
CAL,"9/2/2020 10 p.m. PDT",3654,7,3708,826,87,16316,892,2259
CAL,"9/2/2020 11 p.m. PDT",3719,7,2740,795,87,14212,584,2260
CAL,"9/3/2020 12 a.m. PDT",3780,7,2251,811,87,12958,555,2259
CAL,"9/3/2020 1 a.m. PDT",3800,7,2147,755,88,11719,555,2259
CAL,"9/3/2020 2 a.m. PDT",3827,7,1988,707,88,11189,557,2256
CAL,"9/3/2020 3 a.m. PDT",3826,6,1982,711,88,10061,557,2259
CAL,"9/3/2020 4 a.m. PDT",3484,6,2100,723,88,9953,556,2258
CAL,"9/3/2020 5 a.m. PDT",3123,6,2292,743,88,10469,558,2258
CAL,"9/3/2020 6 a.m. PDT",2718,6,2699,762,88,11891,558,2258
CAL,"9/3/2020 7 a.m. PDT",2234,1228,2643,771,89,13246,560,2261
CAL,"9/3/2020 8 a.m. PDT",1565,6025,2037,745,88,12236,562,2261
CAL,"9/3/2020 9 a.m. PDT",904,9622,2090,676,87,11379,560,2259
CAL,"9/3/2020 10 a.m. PDT",589,11124,2022,673,88,11648,561,2259
CAL,"9/3/2020 11 a.m. PDT",444,11727,1983,651,87,12175,560,2261
CAL,"9/3/2020 12 p.m. PDT",474,11932,2192,689,88,13514,558,2261
CAL,"9/3/2020 1 p.m. PDT",658,11936,2192,709,88,15744,669,2263
CAL,"9/3/2020 2 p.m. PDT",764,11886,2522,754,88,17621,893,2262
CAL,"9/3/2020 3 p.m. PDT",934,11537,3273,768,88,19447,1346,2264
CAL,"9/3/2020 4 p.m. PDT",1305,10637,3690,762,87,20256,1759,2264
CAL,"9/3/2020 5 p.m. PDT",2092,8767,4506,781,88,21257,1807,2263
CAL,"9/3/2020 6 p.m. PDT",2955,3931,5482,795,88,22942,1801,2262
CAL,"9/3/2020 7 p.m. PDT",3380,370,5758,789,88,24297,1798,2263
CAL,"9/3/2020 8 p.m. PDT",3848,233,5573,781,88,22485,1797,2263
CAL,"9/3/2020 9 p.m. PDT",3960,7,4979,778,88,21382,1676,2263
CAL,"9/3/2020 10 p.m. PDT",3597,7,3708,836,88,19783,1514,2263
CAL,"9/3/2020 11 p.m. PDT",3418,7,2480,821,88,17502,1153,2267
CAL,"9/4/2020 12 a.m. PDT",3200,7,1996,834,88,14857,898,2266
CAL,"9/4/2020 1 a.m. PDT",2829,7,1612,782,88,13867,746,2265
CAL,"9/4/2020 2 a.m. PDT",2919,7,1555,715,88,12312,627,2261
CAL,"9/4/2020 3 a.m. PDT",2606,5,1587,719,88,11575,589,2263
CAL,"9/4/2020 4 a.m. PDT",2114,4,1534,733,88,11894,593,2263
CAL,"9/4/2020 5 a.m. PDT",1724,4,1679,739,88,12780,593,2264
CAL,"9/4/2020 6 a.m. PDT",1404,4,2275,737,87,13570,658,2263
CAL,"9/4/2020 7 a.m. PDT",921,1177,2319,764,87,14146,914,2262
CAL,"9/4/2020 8 a.m. PDT",699,6167,2071,739,87,12837,951,2261
CAL,"9/4/2020 9 a.m. PDT",431,9519,1732,745,87,12865,760,2263
CAL,"9/4/2020 10 a.m. PDT",360,11006,1841,737,87,13218,754,2262
CAL,"9/4/2020 11 a.m. PDT",266,11604,1996,746,87,14273,832,2262
CAL,"9/4/2020 12 p.m. PDT",297,11778,2271,750,87,16154,1024,2262
CAL,"9/4/2020 1 p.m. PDT",583,11783,2380,791,87,18309,1370,2262
CAL,"9/4/2020 2 p.m. PDT",747,11683,3207,859,87,20461,1723,2261
CAL,"9/4/2020 3 p.m. PDT",751,11280,3881,890,87,22937,1786,2259
CAL,"9/4/2020 4 p.m. PDT",790,10321,4753,879,87,24360,1787,2260
CAL,"9/4/2020 5 p.m. PDT",861,8332,5286,893,87,25272,1790,2261
CAL,"9/4/2020 6 p.m. PDT",1122,3692,6273,1037,87,27337,1794,2261
CAL,"9/4/2020 7 p.m. PDT",1923,237,6307,945,88,27165,1788,2260
CAL,"9/4/2020 8 p.m. PDT",2521,96,5965,921,88,24860,1793,2262
CAL,"9/4/2020 9 p.m. PDT",2500,7,4980,816,87,22643,1794,2263
CAL,"9/4/2020 10 p.m. PDT",2464,7,3910,885,87,20137,1796,2263
CAL,"9/4/2020 11 p.m. PDT",2025,7,2967,868,88,17671,1787,2265
CAL,"9/5/2020 12 a.m. PDT",1782,7,2657,874,87,14851,1708,2264
CAL,"9/5/2020 1 a.m. PDT",1705,7,1974,758,88,12446,1389,2265
CAL,"9/5/2020 2 a.m. PDT",1144,7,1825,753,88,11779,1256,2262
CAL,"9/5/2020 3 a.m. PDT",732,5,1430,752,87,11685,1252,2262
CAL,"9/5/2020 4 a.m. PDT",413,4,1241,731,88,11732,1294,2261
CAL,"9/5/2020 5 a.m. PDT",168,4,1212,736,88,12362,1332,2262
CAL,"9/5/2020 6 a.m. PDT",261,4,1609,737,88,11929,1331,2258
CAL,"9/5/2020 7 a.m. PDT",84,1094,1729,756,87,11745,1315,2253
CAL,"9/5/2020 8 a.m. PDT",14,5591,1307,748,86,12507,1125,2252
CAL,"9/5/2020 9 a.m. PDT",10,9395,1223,742,87,13120,771,2251
CAL,"9/5/2020 10 a.m. PDT",46,10573,1242,742,87,13607,800,2250
CAL,"9/5/2020 11 a.m. PDT",131,11391,1089,751,86,15228,1192,2253
CAL,"9/5/2020 12 p.m. PDT",349,11611,1737,797,86,16542,1640,2254
CAL,"9/5/2020 1 p.m. PDT",432,11482,2348,720,86,18338,1792,2258
CAL,"9/5/2020 2 p.m. PDT",440,10765,2979,834,86,21767,1794,2259
