"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
NE,"2/1/2020 12 a.m. EST",101,0,755,681,0,5323,2,3328
NE,"2/1/2020 1 a.m. EST",78,0,729,677,0,4895,1,3341
NE,"2/1/2020 2 a.m. EST",65,0,720,676,0,4703,3,3336
NE,"2/1/2020 3 a.m. EST",60,0,695,679,0,4754,5,3351
NE,"2/1/2020 4 a.m. EST",77,0,690,670,0,4834,3,3342
NE,"2/1/2020 5 a.m. EST",96,0,692,682,0,4971,2,3350
NE,"2/1/2020 6 a.m. EST",123,0,773,679,0,4961,2,3349
NE,"2/1/2020 7 a.m. EST",111,0,829,682,0,5413,1,3352
NE,"2/1/2020 8 a.m. EST",89,2,893,678,0,5983,1,3351
NE,"2/1/2020 9 a.m. EST",62,11,1041,686,0,6390,2,3369
NE,"2/1/2020 10 a.m. EST",41,18,1051,691,0,6949,3,3370
NE,"2/1/2020 11 a.m. EST",25,24,932,681,0,7368,1,3342
NE,"2/1/2020 12 p.m. EST",11,25,845,678,0,7321,1,3334
NE,"2/1/2020 1 p.m. EST",1,25,891,673,0,7183,0,3342
NE,"2/1/2020 2 p.m. EST",0,20,934,677,0,7005,1,3342
NE,"2/1/2020 3 p.m. EST",0,13,945,674,0,6950,1,3341
NE,"2/1/2020 4 p.m. EST",2,7,978,682,0,6911,0,3357
NE,"2/1/2020 5 p.m. EST",3,2,1084,700,0,7164,0,3362
NE,"2/1/2020 6 p.m. EST",6,0,1367,705,0,7504,0,3364
NE,"2/1/2020 7 p.m. EST",13,0,1363,693,0,7373,0,3325
NE,"2/1/2020 8 p.m. EST",23,0,1060,696,0,7232,0,3326
NE,"2/1/2020 9 p.m. EST",46,0,1002,688,0,6906,0,3324
NE,"2/1/2020 10 p.m. EST",50,0,827,687,0,6442,0,3313
NE,"2/1/2020 11 p.m. EST",63,0,795,687,0,5532,0,3307
NE,"2/2/2020 12 a.m. EST",58,0,788,693,0,4763,0,3320
NE,"2/2/2020 1 a.m. EST",70,0,719,696,0,4544,2,3324
NE,"2/2/2020 2 a.m. EST",94,0,711,694,0,4265,1,3335
NE,"2/2/2020 3 a.m. EST",99,0,706,694,0,4012,1,3325
NE,"2/2/2020 4 a.m. EST",102,0,706,686,0,3932,2,3343
NE,"2/2/2020 5 a.m. EST",93,0,724,696,0,3959,5,3356
NE,"2/2/2020 6 a.m. EST",88,0,723,698,0,4232,5,3351
NE,"2/2/2020 7 a.m. EST",113,0,771,709,5,4510,3,3369
NE,"2/2/2020 8 a.m. EST",122,3,815,702,7,4748,2,3355
NE,"2/2/2020 9 a.m. EST",105,17,812,692,7,5166,0,3352
NE,"2/2/2020 10 a.m. EST",109,66,864,698,7,5140,3,3343
NE,"2/2/2020 11 a.m. EST",85,106,880,700,7,4797,8,3348
NE,"2/2/2020 12 p.m. EST",99,101,828,702,8,5076,12,3373
NE,"2/2/2020 1 p.m. EST",132,92,788,694,10,5419,4,3354
NE,"2/2/2020 2 p.m. EST",164,73,787,690,8,5617,5,3351
NE,"2/2/2020 3 p.m. EST",193,56,805,695,7,5724,3,3349
NE,"2/2/2020 4 p.m. EST",180,36,916,698,1,6130,0,3361
NE,"2/2/2020 5 p.m. EST",157,8,1237,699,0,6637,2,3365
NE,"2/2/2020 6 p.m. EST",155,0,1633,707,0,7208,0,3375
NE,"2/2/2020 7 p.m. EST",155,0,1580,697,0,7157,3,3329
NE,"2/2/2020 8 p.m. EST",149,0,1303,697,0,6669,21,3329
NE,"2/2/2020 9 p.m. EST",150,0,1157,693,0,6336,6,3326
NE,"2/2/2020 10 p.m. EST",223,0,880,702,0,5960,2,3329
NE,"2/2/2020 11 p.m. EST",253,0,797,658,0,5522,2,3331
NE,"2/3/2020 12 a.m. EST",281,0,719,633,0,4844,4,3307
NE,"2/3/2020 1 a.m. EST",326,0,683,645,0,4276,1,3334
NE,"2/3/2020 2 a.m. EST",375,0,677,656,0,4046,4,3329
NE,"2/3/2020 3 a.m. EST",430,0,677,648,0,3817,17,3338
NE,"2/3/2020 4 a.m. EST",481,0,670,656,0,3824,39,3354
