"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
NE,"7/1/2020 12 a.m. EDT",184,0,469,507,7,5748,0,3309
NE,"7/1/2020 1 a.m. EDT",148,0,452,529,10,4963,0,3315
NE,"7/1/2020 2 a.m. EDT",107,0,452,542,10,4345,0,3284
NE,"7/1/2020 3 a.m. EDT",98,0,438,542,10,3862,0,3296
NE,"7/1/2020 4 a.m. EDT",68,0,428,538,8,3701,0,3311
NE,"7/1/2020 5 a.m. EDT",51,0,420,541,11,3671,0,3326
NE,"7/1/2020 6 a.m. EDT",60,0,430,543,11,3785,0,3365
NE,"7/1/2020 7 a.m. EDT",72,8,434,555,11,4497,0,3410
NE,"7/1/2020 8 a.m. EDT",63,29,441,560,4,5663,0,3371
NE,"7/1/2020 9 a.m. EDT",41,60,528,562,0,7184,0,3381
NE,"7/1/2020 10 a.m. EDT",32,80,553,558,0,7549,0,3349
NE,"7/1/2020 11 a.m. EDT",16,105,604,559,0,8072,0,3346
NE,"7/1/2020 12 p.m. EDT",19,139,553,556,0,8379,0,3348
NE,"7/1/2020 1 p.m. EDT",14,130,538,561,0,8897,0,3350
NE,"7/1/2020 2 p.m. EDT",21,133,563,557,0,9441,0,3349
NE,"7/1/2020 3 p.m. EDT",20,109,556,554,0,9865,0,3336
NE,"7/1/2020 4 p.m. EDT",22,85,670,555,0,9783,0,3319
NE,"7/1/2020 5 p.m. EDT",33,70,943,561,0,9791,0,3340
NE,"7/1/2020 6 p.m. EDT",25,53,1069,550,0,9997,0,3337
NE,"7/1/2020 7 p.m. EDT",21,38,896,557,0,9795,0,3313
NE,"7/1/2020 8 p.m. EDT",32,23,835,575,0,9351,0,3316
NE,"7/1/2020 9 p.m. EDT",46,18,694,595,0,8825,0,3320
NE,"7/1/2020 10 p.m. EDT",71,17,645,587,0,8436,0,3309
NE,"7/1/2020 11 p.m. EDT",92,17,618,585,0,7225,0,3288
NE,"7/2/2020 12 a.m. EDT",77,17,614,582,0,6049,0,3257
NE,"7/2/2020 1 a.m. EDT",80,16,584,582,0,4935,0,3231
NE,"7/2/2020 2 a.m. EDT",86,17,566,568,0,4072,0,3328
NE,"7/2/2020 3 a.m. EDT",107,17,553,535,0,4301,0,3320
NE,"7/2/2020 4 a.m. EDT",129,17,553,535,0,3986,0,3334
NE,"7/2/2020 5 a.m. EDT",122,17,512,530,0,3946,0,3333
NE,"7/2/2020 6 a.m. EDT",138,18,507,527,0,3970,0,3337
NE,"7/2/2020 7 a.m. EDT",146,28,559,546,0,4902,1,3364
NE,"7/2/2020 8 a.m. EDT",121,59,587,551,0,6108,5,3377
NE,"7/2/2020 9 a.m. EDT",89,105,668,573,0,6942,1,3358
NE,"7/2/2020 10 a.m. EDT",55,149,676,587,0,7339,0,3348
NE,"7/2/2020 11 a.m. EDT",32,180,788,580,0,8256,1,3365
NE,"7/2/2020 12 p.m. EDT",38,190,837,572,0,9151,0,3350
NE,"7/2/2020 1 p.m. EDT",56,181,822,587,0,9884,0,3346
NE,"7/2/2020 2 p.m. EDT",75,186,782,588,0,10610,2,3337
NE,"7/2/2020 3 p.m. EDT",139,183,966,594,20,10949,2,3334
NE,"7/2/2020 4 p.m. EDT",250,156,1513,601,23,11199,6,3334
NE,"7/2/2020 5 p.m. EDT",225,130,2027,591,43,11604,5,3330
NE,"7/2/2020 6 p.m. EDT",281,91,2209,580,370,11576,6,3334
NE,"7/2/2020 7 p.m. EDT",235,50,1869,573,647,11194,7,3307
NE,"7/2/2020 8 p.m. EDT",280,26,1863,565,197,10920,5,3298
NE,"7/2/2020 9 p.m. EDT",260,18,1575,581,3,10803,2,3316
NE,"7/2/2020 10 p.m. EDT",286,17,1148,556,8,10459,0,3290
NE,"7/2/2020 11 p.m. EDT",281,17,860,577,3,9195,0,3277
NE,"7/3/2020 12 a.m. EDT",243,17,695,598,0,7767,3,3307
NE,"7/3/2020 1 a.m. EDT",229,17,737,592,0,6362,0,3304
NE,"7/3/2020 2 a.m. EDT",208,17,692,585,0,5678,0,3302
NE,"7/3/2020 3 a.m. EDT",216,17,610,578,0,5160,0,3292
NE,"7/3/2020 4 a.m. EDT",192,17,606,591,0,4867,0,3319
NE,"7/3/2020 5 a.m. EDT",158,17,587,586,0,4982,0,3342
NE,"7/3/2020 6 a.m. EDT",134,17,574,596,0,5098,0,3335
NE,"7/3/2020 7 a.m. EDT",123,27,580,600,0,5423,0,3351
NE,"7/3/2020 8 a.m. EDT",102,54,669,610,0,5814,0,3349
NE,"7/3/2020 9 a.m. EDT",72,87,703,611,0,6597,0,3379
NE,"7/3/2020 10 a.m. EDT",68,103,855,612,0,7422,0,3361
NE,"7/3/2020 11 a.m. EDT",65,99,857,624,0,8065,0,3364
NE,"7/3/2020 12 p.m. EDT",54,95,920,615,0,8483,0,3349
NE,"7/3/2020 1 p.m. EDT",76,108,964,613,0,8693,1,3320
NE,"7/3/2020 2 p.m. EDT",86,104,842,628,0,8827,0,3322
NE,"7/3/2020 3 p.m. EDT",79,81,958,663,0,8876,0,3338
NE,"7/3/2020 4 p.m. EDT",82,70,1183,679,0,8864,0,3331
NE,"7/3/2020 5 p.m. EDT",91,48,1418,685,0,9222,0,3333
NE,"7/3/2020 6 p.m. EDT",101,38,1210,677,0,9157,1,3324
NE,"7/3/2020 7 p.m. EDT",130,32,1123,671,0,8799,0,3289
NE,"7/3/2020 8 p.m. EDT",123,25,932,678,2,8373,0,3307
NE,"7/3/2020 9 p.m. EDT",126,18,695,673,3,8114,0,3301
NE,"7/3/2020 10 p.m. EDT",148,17,632,670,3,7745,0,3293
NE,"7/3/2020 11 p.m. EDT",190,17,603,670,2,6896,0,3268
NE,"7/4/2020 12 a.m. EDT",218,17,585,693,0,5539,0,3301
NE,"7/4/2020 1 a.m. EDT",204,17,537,694,0,4816,0,3310
NE,"7/4/2020 2 a.m. EDT",212,17,518,689,0,4413,0,3303
NE,"7/4/2020 3 a.m. EDT",221,17,519,700,0,4355,0,3349
NE,"7/4/2020 4 a.m. EDT",219,17,515,688,0,4690,0,3332
NE,"7/4/2020 5 a.m. EDT",188,17,511,678,0,4533,0,3312
NE,"7/4/2020 6 a.m. EDT",191,17,515,670,0,4181,0,3312
NE,"7/4/2020 7 a.m. EDT",150,24,513,681,0,4395,0,3354
NE,"7/4/2020 8 a.m. EDT",116,41,509,682,0,4685,0,3357
NE,"7/4/2020 9 a.m. EDT",73,72,503,680,0,5214,0,3352
NE,"7/4/2020 10 a.m. EDT",56,105,525,676,0,5278,0,3322
NE,"7/4/2020 11 a.m. EDT",56,137,572,685,0,5718,0,3359
NE,"7/4/2020 12 p.m. EDT",48,169,566,685,0,6259,0,3349
NE,"7/4/2020 1 p.m. EDT",68,180,565,675,0,6777,0,3339
