"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
NE,"8/1/2020 12 a.m. EDT",82,32,280,743,0,7586,0,3291
NE,"8/1/2020 1 a.m. EDT",47,32,278,731,0,6333,0,3282
NE,"8/1/2020 2 a.m. EDT",54,32,280,741,0,5823,0,3304
NE,"8/1/2020 3 a.m. EDT",65,32,281,740,0,5669,0,3316
NE,"8/1/2020 4 a.m. EDT",80,32,280,730,0,5807,3,3318
NE,"8/1/2020 5 a.m. EDT",116,32,280,728,0,5564,0,3319
NE,"8/1/2020 6 a.m. EDT",180,32,284,721,0,5421,0,3321
NE,"8/1/2020 7 a.m. EDT",200,37,296,732,0,5582,0,3360
NE,"8/1/2020 8 a.m. EDT",133,66,296,733,0,6526,0,3339
NE,"8/1/2020 9 a.m. EDT",59,119,286,731,0,6570,0,3327
NE,"8/1/2020 10 a.m. EDT",51,166,292,732,0,6831,0,3344
NE,"8/1/2020 11 a.m. EDT",49,197,335,728,0,7599,0,3352
NE,"8/1/2020 12 p.m. EDT",53,202,385,730,0,8367,0,3353
NE,"8/1/2020 1 p.m. EDT",57,198,565,722,0,9065,2,3337
NE,"8/1/2020 2 p.m. EDT",55,191,529,722,0,9538,5,3320
NE,"8/1/2020 3 p.m. EDT",41,176,578,744,4,9676,3,3312
NE,"8/1/2020 4 p.m. EDT",35,170,681,760,4,9958,2,3331
NE,"8/1/2020 5 p.m. EDT",33,152,1061,762,4,10463,2,3351
NE,"8/1/2020 6 p.m. EDT",29,108,1538,765,121,10957,6,3341
NE,"8/1/2020 7 p.m. EDT",21,61,1421,755,508,10681,5,3303
NE,"8/1/2020 8 p.m. EDT",19,38,1039,750,163,10837,5,3288
NE,"8/1/2020 9 p.m. EDT",15,32,602,744,8,10377,2,3289
NE,"8/1/2020 10 p.m. EDT",20,32,502,752,8,9793,0,3296
NE,"8/1/2020 11 p.m. EDT",26,32,745,756,8,8741,0,3306
NE,"8/2/2020 12 a.m. EDT",42,31,780,742,8,7984,0,3263
NE,"8/2/2020 1 a.m. EDT",55,32,552,768,1,7346,0,3309
NE,"8/2/2020 2 a.m. EDT",73,32,297,763,0,7221,0,3311
NE,"8/2/2020 3 a.m. EDT",86,32,271,751,0,7012,0,3313
NE,"8/2/2020 4 a.m. EDT",81,32,267,731,0,6452,0,3299
NE,"8/2/2020 5 a.m. EDT",66,32,268,716,0,6059,0,3313
NE,"8/2/2020 6 a.m. EDT",70,32,271,703,0,5995,0,3319
NE,"8/2/2020 7 a.m. EDT",103,36,281,707,0,6201,0,3338
NE,"8/2/2020 8 a.m. EDT",111,53,280,701,0,7007,0,3335
NE,"8/2/2020 9 a.m. EDT",109,79,272,707,0,7550,0,3321
NE,"8/2/2020 10 a.m. EDT",105,106,317,729,0,7934,0,3336
NE,"8/2/2020 11 a.m. EDT",121,126,354,728,0,8540,0,3341
NE,"8/2/2020 12 p.m. EDT",185,152,333,690,0,8967,0,3333
NE,"8/2/2020 1 p.m. EDT",260,141,334,681,0,9427,4,3323
NE,"8/2/2020 2 p.m. EDT",336,137,312,685,0,9606,3,3322
NE,"8/2/2020 3 p.m. EDT",384,83,330,703,0,9977,2,3334
NE,"8/2/2020 4 p.m. EDT",427,69,501,719,0,10252,1,3324
NE,"8/2/2020 5 p.m. EDT",469,65,1050,723,2,10079,2,3320
NE,"8/2/2020 6 p.m. EDT",559,50,1384,730,5,10089,3,3319
NE,"8/2/2020 7 p.m. EDT",542,39,1263,731,5,10215,5,3321
NE,"8/2/2020 8 p.m. EDT",536,33,942,731,7,10324,7,3324
NE,"8/2/2020 9 p.m. EDT",526,32,919,713,8,10364,3,3313
NE,"8/2/2020 10 p.m. EDT",519,32,727,712,8,9864,0,3313
NE,"8/2/2020 11 p.m. EDT",535,32,447,705,8,9152,0,3299
NE,"8/3/2020 12 a.m. EDT",551,32,265,715,6,8655,0,3315
NE,"8/3/2020 1 a.m. EDT",568,32,261,713,0,8093,0,3282
