"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
CAL,"5/1/2020 12 a.m. PDT",4341,1,862,616,88,7040,660,2272
CAL,"5/1/2020 1 a.m. PDT",4521,354,670,586,89,5286,659,2274
CAL,"5/1/2020 2 a.m. PDT",4241,333,651,584,46,4992,660,2274
CAL,"5/1/2020 3 a.m. PDT",4154,338,641,617,46,4263,662,2274
CAL,"5/1/2020 4 a.m. PDT",3919,315,635,620,89,4333,664,2276
CAL,"5/1/2020 5 a.m. PDT",3790,311,630,628,89,4488,665,2276
CAL,"5/1/2020 6 a.m. PDT",3833,328,698,650,46,4918,662,2277
CAL,"5/1/2020 7 a.m. PDT",3665,3771,921,670,48,4913,663,2276
CAL,"5/1/2020 8 a.m. PDT",3325,8034,803,626,90,4187,666,2275
CAL,"5/1/2020 9 a.m. PDT",3248,10266,805,622,89,4169,669,2275
CAL,"5/1/2020 10 a.m. PDT",2866,10275,790,625,50,4331,670,2276
CAL,"5/1/2020 11 a.m. PDT",1248,9585,861,639,89,4536,671,2276
CAL,"5/1/2020 12 p.m. PDT",1419,9841,819,677,48,4227,667,2275
CAL,"5/1/2020 1 p.m. PDT",1987,10053,841,666,49,4590,666,2275
CAL,"5/1/2020 2 p.m. PDT",2100,10613,870,671,89,4855,663,2275
CAL,"5/1/2020 3 p.m. PDT",3649,10952,853,693,89,4044,662,2276
CAL,"5/1/2020 4 p.m. PDT",4610,11092,856,676,88,4378,659,2276
CAL,"5/1/2020 5 p.m. PDT",4834,10392,1025,629,88,5291,661,2278
CAL,"5/1/2020 6 p.m. PDT",4676,7041,1343,631,88,6114,661,2275
CAL,"5/1/2020 7 p.m. PDT",4656,1786,1630,647,86,7393,659,2278
CAL,"5/1/2020 8 p.m. PDT",5010,1455,1681,683,47,8348,661,2278
CAL,"5/1/2020 9 p.m. PDT",4760,585,1660,695,88,8387,661,2276
CAL,"5/1/2020 10 p.m. PDT",4554,543,1533,696,89,7420,663,2274
CAL,"5/1/2020 11 p.m. PDT",4814,494,1176,666,87,7344,662,2278
CAL,"5/2/2020 12 a.m. PDT",4858,442,1125,621,89,5140,668,2275
CAL,"5/2/2020 1 a.m. PDT",4730,22,1187,574,89,4781,662,2277
CAL,"5/2/2020 2 a.m. PDT",4545,22,885,547,88,4637,663,2276
