"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
CAL,"1/1/2020 12 a.m. PST",289,6,397,747,46,10294,978,2275
CAL,"1/1/2020 1 a.m. PST",334,5,304,750,91,10236,771,2272
CAL,"1/1/2020 2 a.m. PST",654,5,259,749,90,9321,665,2274
CAL,"1/1/2020 3 a.m. PST",527,4,207,755,91,8925,651,2274
CAL,"1/1/2020 4 a.m. PST",823,4,205,756,90,8498,651,2272
CAL,"1/1/2020 5 a.m. PST",761,3,207,754,90,8378,658,2271
CAL,"1/1/2020 6 a.m. PST",962,4,227,751,58,8160,655,2272
CAL,"1/1/2020 7 a.m. PST",523,154,338,754,46,8221,656,2271
CAL,"1/1/2020 8 a.m. PST",881,2820,350,753,46,6700,656,2273
CAL,"1/1/2020 9 a.m. PST",1018,6195,351,749,46,6395,657,2272
CAL,"1/1/2020 10 a.m. PST",1013,7614,290,746,56,5475,656,2273
CAL,"1/1/2020 11 a.m. PST",1626,7378,286,744,62,5320,656,2275
CAL,"1/1/2020 12 p.m. PST",1853,7141,276,737,83,5287,654,2272
CAL,"1/1/2020 1 p.m. PST",2704,5868,273,739,46,5441,653,2272
CAL,"1/1/2020 2 p.m. PST",2469,7004,282,743,91,5552,653,2273
CAL,"1/1/2020 3 p.m. PST",2937,5062,290,742,92,6230,654,2270
CAL,"1/1/2020 4 p.m. PST",2863,1712,348,740,90,6781,654,2271
CAL,"1/1/2020 5 p.m. PST",2594,80,594,750,91,7695,654,2272
CAL,"1/1/2020 6 p.m. PST",2447,48,925,741,90,7956,714,2273
CAL,"1/1/2020 7 p.m. PST",2864,8,1024,757,91,8005,817,2271
CAL,"1/1/2020 8 p.m. PST",2738,7,881,760,90,8749,685,2273
CAL,"1/1/2020 9 p.m. PST",2762,7,660,758,90,8950,651,2275
CAL,"1/1/2020 10 p.m. PST",3037,7,558,750,45,8158,651,2273
CAL,"1/1/2020 11 p.m. PST",3002,7,211,749,91,7560,651,2274
CAL,"1/2/2020 12 a.m. PST",3195,7,174,747,91,7314,651,2272
CAL,"1/2/2020 1 a.m. PST",3031,5,150,753,90,6972,651,2270
CAL,"1/2/2020 2 a.m. PST",2054,5,186,753,90,6810,651,2272
CAL,"1/2/2020 3 a.m. PST",2218,5,188,750,91,7140,654,2275
CAL,"1/2/2020 4 a.m. PST",2239,5,189,751,90,7552,655,2272
CAL,"1/2/2020 5 a.m. PST",2326,5,203,754,90,7256,654,2276
CAL,"1/2/2020 6 a.m. PST",2736,5,257,753,91,7789,663,2275
CAL,"1/2/2020 7 a.m. PST",2557,150,369,784,90,8735,872,2273
CAL,"1/2/2020 8 a.m. PST",1188,3243,456,753,91,8792,880,2273
CAL,"1/2/2020 9 a.m. PST",693,6647,432,745,91,8096,669,2273
CAL,"1/2/2020 10 a.m. PST",398,7310,404,748,90,7345,652,2272
CAL,"1/2/2020 11 a.m. PST",586,8009,347,739,84,7406,650,2272
CAL,"1/2/2020 12 p.m. PST",616,7679,326,733,91,7654,651,2275
CAL,"1/2/2020 1 p.m. PST",448,7846,321,735,92,7853,648,2274
