"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
NE,"12/1/2020 12 a.m. EST",1047,3,826,599,0,2750,2,3321
NE,"12/1/2020 1 a.m. EST",906,3,821,596,0,1712,3,3330
NE,"12/1/2020 2 a.m. EST",968,3,829,590,0,1573,4,3343
NE,"12/1/2020 3 a.m. EST",983,3,866,595,0,1453,2,3345
NE,"12/1/2020 4 a.m. EST",975,3,878,583,0,1453,0,3350
NE,"12/1/2020 5 a.m. EST",1019,3,898,560,0,1618,0,3357
NE,"12/1/2020 6 a.m. EST",1009,3,926,536,0,1936,0,3367
NE,"12/1/2020 7 a.m. EST",991,3,992,526,0,3033,0,3359
NE,"12/1/2020 8 a.m. EST",983,5,1165,536,8,3442,0,3366
NE,"12/1/2020 9 a.m. EST",973,17,1046,516,37,3877,0,3333
NE,"12/1/2020 10 a.m. EST",993,30,861,509,38,4090,0,3347
NE,"12/1/2020 11 a.m. EST",946,49,843,522,37,3986,0,3323
NE,"12/1/2020 12 p.m. EST",891,56,853,545,34,4304,0,3352
NE,"12/1/2020 1 p.m. EST",901,72,860,510,33,4322,0,3346
NE,"12/1/2020 2 p.m. EST",891,61,866,525,39,4260,0,3343
NE,"12/1/2020 3 p.m. EST",866,52,874,531,39,4585,0,3350
NE,"12/1/2020 4 p.m. EST",936,22,917,548,38,4602,0,3351
NE,"12/1/2020 5 p.m. EST",1001,4,1385,596,16,4961,1,3376
NE,"12/1/2020 6 p.m. EST",965,3,1997,612,9,5336,1,3343
NE,"12/1/2020 7 p.m. EST",875,3,1577,612,0,5282,0,3324
NE,"12/1/2020 8 p.m. EST",817,3,1465,609,0,4934,0,3334
NE,"12/1/2020 9 p.m. EST",762,3,1239,601,0,4877,0,3312
NE,"12/1/2020 10 p.m. EST",736,3,1095,602,0,4117,0,3317
NE,"12/1/2020 11 p.m. EST",697,3,1032,603,0,3161,0,3305
NE,"12/2/2020 12 a.m. EST",707,3,902,602,0,2620,0,3320
NE,"12/2/2020 1 a.m. EST",551,3,817,584,0,2473,0,3337
NE,"12/2/2020 2 a.m. EST",622,3,791,575,0,2537,0,3335
NE,"12/2/2020 3 a.m. EST",553,3,796,567,0,2305,0,3346
NE,"12/2/2020 4 a.m. EST",612,3,798,562,0,2448,1,3353
NE,"12/2/2020 5 a.m. EST",537,3,802,564,0,2691,0,3358
NE,"12/2/2020 6 a.m. EST",530,3,804,565,0,3006,0,3361
NE,"12/2/2020 7 a.m. EST",532,3,949,568,0,4103,0,3391
NE,"12/2/2020 8 a.m. EST",415,12,986,573,4,5106,0,3371
NE,"12/2/2020 9 a.m. EST",360,54,1059,565,37,5323,0,3353
NE,"12/2/2020 10 a.m. EST",343,90,960,567,57,5166,0,3340
NE,"12/2/2020 11 a.m. EST",328,114,1184,570,57,4957,0,3352
NE,"12/2/2020 12 p.m. EST",342,99,1165,565,35,5233,2,3361
NE,"12/2/2020 1 p.m. EST",373,75,1381,550,0,5315,2,3362
NE,"12/2/2020 2 p.m. EST",353,51,1354,558,10,5436,1,3341
NE,"12/2/2020 3 p.m. EST",338,34,1374,558,40,5381,0,3350
NE,"12/2/2020 4 p.m. EST",338,13,1341,562,40,5829,0,3369
NE,"12/2/2020 5 p.m. EST",341,2,1755,566,41,6499,0,3388
NE,"12/2/2020 6 p.m. EST",367,1,1962,567,16,6946,0,3351
NE,"12/2/2020 7 p.m. EST",434,1,1796,557,0,6741,0,3329
NE,"12/2/2020 8 p.m. EST",475,1,1574,559,0,6326,0,3316
