"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
NE,"11/1/2020 12 a.m. EDT",599,0,475,658,0,5245,80,2092
NE,"11/1/2020 1 a.m. EDT",620,0,431,658,0,4699,79,2095
NE,"11/1/2020 1 a.m. EST",636,0,438,662,0,4647,1,2112
NE,"11/1/2020 2 a.m. EST",618,0,434,668,0,4899,0,2128
NE,"11/1/2020 3 a.m. EST",664,0,410,654,0,4962,1,2113
NE,"11/1/2020 4 a.m. EST",638,0,369,658,0,5044,0,2118
NE,"11/1/2020 5 a.m. EST",647,0,369,657,0,4747,0,2107
NE,"11/1/2020 6 a.m. EST",676,0,381,662,0,4685,0,2116
NE,"11/1/2020 7 a.m. EST",660,2,365,663,0,4945,1,2115
NE,"11/1/2020 8 a.m. EST",624,16,387,664,0,5114,5,2113
NE,"11/1/2020 9 a.m. EST",677,33,533,666,0,5201,4,2123
NE,"11/1/2020 10 a.m. EST",692,50,597,666,13,5492,0,2121
NE,"11/1/2020 11 a.m. EST",721,86,571,655,30,5651,1,2117
NE,"11/1/2020 12 p.m. EST",709,92,443,660,21,5874,0,2119
NE,"11/1/2020 1 p.m. EST",707,87,479,663,21,6005,1,2113
NE,"11/1/2020 2 p.m. EST",752,50,572,677,21,6377,0,2126
NE,"11/1/2020 3 p.m. EST",752,28,781,677,29,6616,0,2115
NE,"11/1/2020 4 p.m. EST",666,22,956,684,33,6596,0,2113
NE,"11/1/2020 5 p.m. EST",630,2,1283,688,0,6989,0,2141
NE,"11/1/2020 6 p.m. EST",612,0,1601,685,0,7166,0,2109
NE,"11/1/2020 7 p.m. EST",530,0,1463,673,0,6868,0,2095
NE,"11/1/2020 8 p.m. EST",520,0,910,668,0,6617,0,2101
NE,"11/1/2020 9 p.m. EST",382,0,504,671,0,6595,1,2104
NE,"11/1/2020 10 p.m. EST",363,0,441,689,0,5863,0,2094
NE,"11/1/2020 11 p.m. EST",436,0,460,680,0,5034,0,2104
NE,"11/2/2020 12 a.m. EST",442,0,455,681,0,4787,1,2111
NE,"11/2/2020 1 a.m. EST",474,0,431,670,0,4303,0,2099
NE,"11/2/2020 2 a.m. EST",475,0,419,667,0,3963,0,2101
