"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
CAL,"2/1/2020 12 a.m. PST",159,4,208,564,46,8850,658,2272
CAL,"2/1/2020 1 a.m. PST",154,1,166,484,90,8335,658,2271
CAL,"2/1/2020 2 a.m. PST",149,2,157,443,46,8366,658,2272
CAL,"2/1/2020 3 a.m. PST",184,2,146,418,85,7985,661,2270
CAL,"2/1/2020 4 a.m. PST",147,1,155,422,46,7922,664,2271
CAL,"2/1/2020 5 a.m. PST",186,1,159,417,46,7886,663,2269
CAL,"2/1/2020 6 a.m. PST",218,1,183,419,46,8332,663,2270
CAL,"2/1/2020 7 a.m. PST",253,435,426,423,46,8764,670,2270
CAL,"2/1/2020 8 a.m. PST",265,4892,318,428,46,6323,662,2270
CAL,"2/1/2020 9 a.m. PST",325,8150,325,421,49,4794,661,2272
CAL,"2/1/2020 10 a.m. PST",370,8733,352,419,46,4603,663,2269
CAL,"2/1/2020 11 a.m. PST",343,8848,333,413,90,4657,660,2273
CAL,"2/1/2020 12 p.m. PST",370,8964,245,408,91,4703,658,2272
CAL,"2/1/2020 1 p.m. PST",400,8372,241,410,89,4613,660,2271
CAL,"2/1/2020 2 p.m. PST",390,8405,246,410,91,4913,660,2271
CAL,"2/1/2020 3 p.m. PST",388,7929,258,411,46,5970,661,2272
CAL,"2/1/2020 4 p.m. PST",262,5107,285,412,90,6951,662,2273
CAL,"2/1/2020 5 p.m. PST",366,505,366,408,90,9054,665,2272
CAL,"2/1/2020 6 p.m. PST",424,9,1024,436,91,10441,826,2273
CAL,"2/1/2020 7 p.m. PST",420,6,1093,456,46,10121,846,2271
CAL,"2/1/2020 8 p.m. PST",421,6,722,462,91,10099,769,2272
CAL,"2/1/2020 9 p.m. PST",322,5,600,455,91,10731,664,2272
CAL,"2/1/2020 10 p.m. PST",363,4,522,412,90,10329,661,2270
CAL,"2/1/2020 11 p.m. PST",440,5,346,414,90,9328,660,2272
CAL,"2/2/2020 12 a.m. PST",630,5,277,418,90,8256,661,2271
CAL,"2/2/2020 1 a.m. PST",656,0,226,417,46,7678,664,2271
CAL,"2/2/2020 2 a.m. PST",746,1,163,418,90,7636,664,2273
CAL,"2/2/2020 3 a.m. PST",691,1,144,423,90,7314,665,2271
CAL,"2/2/2020 4 a.m. PST",757,0,143,418,91,7401,665,2271
CAL,"2/2/2020 5 a.m. PST",814,0,145,420,90,7269,667,2271
CAL,"2/2/2020 6 a.m. PST",896,-1,159,425,90,7591,666,2273
CAL,"2/2/2020 7 a.m. PST",1098,416,382,415,90,7842,662,2271
CAL,"2/2/2020 8 a.m. PST",1629,4649,337,419,90,5911,661,2271
CAL,"2/2/2020 9 a.m. PST",1546,7621,303,424,91,5392,662,2272
CAL,"2/2/2020 10 a.m. PST",1658,8066,327,412,91,5177,663,2269
CAL,"2/2/2020 11 a.m. PST",2658,8527,304,411,91,5062,662,2271
CAL,"2/2/2020 12 p.m. PST",3618,8204,287,406,46,4946,661,2271
CAL,"2/2/2020 1 p.m. PST",4263,7582,246,408,47,4977,661,2270
CAL,"2/2/2020 2 p.m. PST",4442,7982,235,407,90,5125,658,2272
CAL,"2/2/2020 3 p.m. PST",4478,7623,227,406,90,4876,657,2271
CAL,"2/2/2020 4 p.m. PST",4171,4290,258,404,90,5703,659,2270
CAL,"2/2/2020 5 p.m. PST",3674,529,493,404,91,6541,662,2271
CAL,"2/2/2020 6 p.m. PST",3575,55,920,421,90,8548,660,2271
CAL,"2/2/2020 7 p.m. PST",3498,0,1036,449,90,7992,659,2270
CAL,"2/2/2020 8 p.m. PST",2903,-2,737,454,90,8720,660,2271
CAL,"2/2/2020 9 p.m. PST",2676,-2,666,436,91,8929,658,2271
CAL,"2/2/2020 10 p.m. PST",2749,-3,574,413,91,8403,661,2274
CAL,"2/2/2020 11 p.m. PST",2574,-3,278,412,91,8005,659,2272
CAL,"2/3/2020 12 a.m. PST",2872,-2,166,418,91,7537,661,2274
CAL,"2/3/2020 1 a.m. PST",2582,-6,163,411,90,7471,663,2273
CAL,"2/3/2020 2 a.m. PST",2396,-6,148,408,90,7456,661,2275
CAL,"2/3/2020 3 a.m. PST",2178,-7,154,407,91,7707,662,2274
CAL,"2/3/2020 4 a.m. PST",2164,-7,166,405,45,8280,667,2275
CAL,"2/3/2020 5 a.m. PST",1927,0,175,408,56,8668,667,2277
CAL,"2/3/2020 6 a.m. PST",2194,-1,195,408,87,10005,668,2277
CAL,"2/3/2020 7 a.m. PST",1932,299,578,411,91,11162,667,2275
CAL,"2/3/2020 8 a.m. PST",1832,3975,592,416,90,10299,665,2276
CAL,"2/3/2020 9 a.m. PST",1945,7698,299,411,90,8600,667,2276
CAL,"2/3/2020 10 a.m. PST",2058,9208,220,412,91,7434,667,2280
CAL,"2/3/2020 11 a.m. PST",2074,9694,194,411,91,6464,666,2279
CAL,"2/3/2020 12 p.m. PST",1890,9047,223,408,91,6157,667,2275
CAL,"2/3/2020 1 p.m. PST",1813,9260,216,420,91,6427,666,2276
CAL,"2/3/2020 2 p.m. PST",1538,9037,212,412,91,7357,663,2277
CAL,"2/3/2020 3 p.m. PST",1504,9242,215,418,90,6919,662,2276
CAL,"2/3/2020 4 p.m. PST",1625,5005,237,420,55,8082,662,2279
CAL,"2/3/2020 5 p.m. PST",2041,1564,522,420,60,11257,661,2279
CAL,"2/3/2020 6 p.m. PST",1830,331,1133,424,83,13830,681,2278
CAL,"2/3/2020 7 p.m. PST",1628,-2,1373,447,91,14013,708,2278
CAL,"2/3/2020 8 p.m. PST",1723,-4,860,415,47,13222,768,2280
CAL,"2/3/2020 9 p.m. PST",1736,-4,357,429,90,12882,963,2280
CAL,"2/3/2020 10 p.m. PST",1675,-5,276,414,90,12142,914,2279
CAL,"2/3/2020 11 p.m. PST",1604,-5,219,419,91,11622,744,2278
CAL,"2/4/2020 12 a.m. PST",1539,-4,206,422,91,10478,661,2278
CAL,"2/4/2020 1 a.m. PST",1507,-5,190,425,90,10687,660,2278
CAL,"2/4/2020 2 a.m. PST",1635,-5,182,418,90,9795,660,2279
CAL,"2/4/2020 3 a.m. PST",1711,-6,166,433,90,9950,662,2279
CAL,"2/4/2020 4 a.m. PST",1756,4,166,450,91,9907,662,2279
CAL,"2/4/2020 5 a.m. PST",1532,4,183,444,72,11013,663,2279
CAL,"2/4/2020 6 a.m. PST",1579,4,388,452,45,13114,829,2278
CAL,"2/4/2020 7 a.m. PST",1617,501,601,446,46,13667,1062,2278
CAL,"2/4/2020 8 a.m. PST",1548,5045,493,437,42,11255,879,2275
CAL,"2/4/2020 9 a.m. PST",1695,8760,328,433,46,9418,674,2277
CAL,"2/4/2020 10 a.m. PST",1709,9497,225,442,46,9090,662,2274
CAL,"2/4/2020 11 a.m. PST",2044,9394,250,428,45,7230,662,2277
CAL,"2/4/2020 12 p.m. PST",1956,8995,233,428,46,7152,662,2277
CAL,"2/4/2020 1 p.m. PST",1721,9903,220,430,47,7276,661,2276
CAL,"2/4/2020 2 p.m. PST",1729,8959,194,430,46,7408,661,2276
CAL,"2/4/2020 3 p.m. PST",1335,8200,192,429,46,7761,661,2275
