"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
CAL,"10/1/2020 12 a.m. PDT",1605,5,1870,698,89,15302,1601,2120
CAL,"10/1/2020 1 a.m. PDT",1605,5,1381,606,89,13529,1179,2114
CAL,"10/1/2020 2 a.m. PDT",1522,4,1446,610,88,12228,716,2110
CAL,"10/1/2020 3 a.m. PDT",1108,4,1374,604,88,11645,628,2110
CAL,"10/1/2020 4 a.m. PDT",672,4,1323,604,88,11738,605,2108
CAL,"10/1/2020 5 a.m. PDT",581,4,1433,633,88,12216,569,2108
CAL,"10/1/2020 6 a.m. PDT",463,4,1761,638,88,12645,586,2106
CAL,"10/1/2020 7 a.m. PDT",388,403,1890,615,87,13387,758,2106
CAL,"10/1/2020 8 a.m. PDT",147,4562,1475,632,88,13019,660,2106
CAL,"10/1/2020 9 a.m. PDT",73,8407,1373,651,87,12258,561,2104
CAL,"10/1/2020 10 a.m. PDT",73,10062,1024,705,88,13267,563,2106
CAL,"10/1/2020 11 a.m. PDT",220,10696,999,819,88,14823,563,2101
CAL,"10/1/2020 12 p.m. PDT",436,10779,1373,801,88,16439,629,2101
CAL,"10/1/2020 1 p.m. PDT",433,10860,1877,820,88,19140,1121,2102
CAL,"10/1/2020 2 p.m. PDT",263,10670,2443,844,88,22005,1593,2100
CAL,"10/1/2020 3 p.m. PDT",234,10249,3303,920,88,23569,1793,2098
CAL,"10/1/2020 4 p.m. PDT",205,9136,3693,895,88,24918,1766,2101
CAL,"10/1/2020 5 p.m. PDT",220,6076,4132,891,88,26671,1770,2103
CAL,"10/1/2020 6 p.m. PDT",276,999,4892,904,89,28107,1766,2102
CAL,"10/1/2020 7 p.m. PDT",605,670,4885,895,87,27157,1766,2102
CAL,"10/1/2020 8 p.m. PDT",749,6,4713,911,89,24113,1762,2105
CAL,"10/1/2020 9 p.m. PDT",860,6,3823,880,89,22561,1744,2104
CAL,"10/1/2020 10 p.m. PDT",734,6,2777,889,88,20452,1726,2104
CAL,"10/1/2020 11 p.m. PDT",695,6,1881,897,89,17797,1370,2107
CAL,"10/2/2020 12 a.m. PDT",832,6,1701,917,88,15418,925,2108
CAL,"10/2/2020 1 a.m. PDT",1058,6,1309,927,87,13550,584,2103
CAL,"10/2/2020 2 a.m. PDT",1012,4,1267,821,88,12360,545,2101
CAL,"10/2/2020 3 a.m. PDT",862,4,1226,790,88,11800,544,2101
CAL,"10/2/2020 4 a.m. PDT",816,4,1263,779,89,11754,546,2100
CAL,"10/2/2020 5 a.m. PDT",724,4,1357,814,89,11664,549,2101
CAL,"10/2/2020 6 a.m. PDT",571,4,1476,787,89,12309,549,2100
CAL,"10/2/2020 7 a.m. PDT",454,383,1405,820,89,13000,546,2099
CAL,"10/2/2020 8 a.m. PDT",173,4552,947,848,89,12354,547,2097
CAL,"10/2/2020 9 a.m. PDT",69,8592,535,806,88,12140,549,2102
CAL,"10/2/2020 10 a.m. PDT",-4,9904,578,770,89,12403,549,2100
CAL,"10/2/2020 11 a.m. PDT",-4,10805,618,783,88,13390,549,2097
CAL,"10/2/2020 12 p.m. PDT",140,10948,1006,798,89,14748,723,2096
CAL,"10/2/2020 1 p.m. PDT",229,10989,1426,825,88,16892,1228,2095
CAL,"10/2/2020 2 p.m. PDT",175,10959,2088,856,88,19555,1608,2095
CAL,"10/2/2020 3 p.m. PDT",218,10284,2860,897,88,21128,1756,2095
