"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
CAL,"7/1/2020 12 a.m. PDT",2797,8,787,829,88,7893,567,2257
CAL,"7/1/2020 1 a.m. PDT",3057,6,671,794,89,6392,565,2259
CAL,"7/1/2020 2 a.m. PDT",2832,7,615,785,89,5618,564,2261
CAL,"7/1/2020 3 a.m. PDT",2262,7,625,788,89,5357,564,2262
CAL,"7/1/2020 4 a.m. PDT",2165,5,594,783,89,5225,566,2263
CAL,"7/1/2020 5 a.m. PDT",1891,5,590,798,89,5167,568,2264
CAL,"7/1/2020 6 a.m. PDT",1695,335,713,824,89,6001,568,2263
CAL,"7/1/2020 7 a.m. PDT",1495,4354,810,835,90,5621,568,2262
CAL,"7/1/2020 8 a.m. PDT",1102,8969,757,792,89,4611,570,2261
CAL,"7/1/2020 9 a.m. PDT",846,11020,772,750,89,4380,568,2258
CAL,"7/1/2020 10 a.m. PDT",567,11968,708,755,89,4645,567,2257
CAL,"7/1/2020 11 a.m. PDT",293,12556,717,759,89,4635,566,2259
CAL,"7/1/2020 12 p.m. PDT",398,12803,805,774,90,4989,590,2259
CAL,"7/1/2020 1 p.m. PDT",1162,12790,822,785,89,4893,912,2256
CAL,"7/1/2020 2 p.m. PDT",1345,12646,961,791,89,5796,943,2259
CAL,"7/1/2020 3 p.m. PDT",1784,12413,1031,1828,89,6693,1021,2260
CAL,"7/1/2020 4 p.m. PDT",2271,11786,1269,864,89,7637,1043,2264
CAL,"7/1/2020 5 p.m. PDT",2613,10674,1488,848,89,8943,1050,2268
CAL,"7/1/2020 6 p.m. PDT",2808,8213,1642,857,89,10421,1050,2265
CAL,"7/1/2020 7 p.m. PDT",2649,3285,1745,853,89,13537,1052,2258
CAL,"7/1/2020 8 p.m. PDT",2588,196,1775,857,89,14492,1201,2258
CAL,"7/1/2020 9 p.m. PDT",2619,96,1743,864,89,13881,894,2259
CAL,"7/1/2020 10 p.m. PDT",2538,23,1608,859,89,12635,751,2260
CAL,"7/1/2020 11 p.m. PDT",2579,23,1005,847,89,10488,574,2260
CAL,"7/2/2020 12 a.m. PDT",2959,23,724,835,90,8214,565,2258
CAL,"7/2/2020 1 a.m. PDT",2775,20,682,835,89,7259,564,2258
CAL,"7/2/2020 2 a.m. PDT",2568,8,656,799,90,6818,562,2260
CAL,"7/2/2020 3 a.m. PDT",2485,8,659,784,89,6267,562,2261
CAL,"7/2/2020 4 a.m. PDT",2322,6,656,756,89,5816,562,2262
CAL,"7/2/2020 5 a.m. PDT",2123,6,661,791,90,5824,636,2261
CAL,"7/2/2020 6 a.m. PDT",1841,349,741,817,90,6365,565,2258
CAL,"7/2/2020 7 a.m. PDT",1610,4427,804,823,89,6162,594,2261
CAL,"7/2/2020 8 a.m. PDT",1234,8836,756,781,90,5130,648,2256
CAL,"7/2/2020 9 a.m. PDT",982,11058,737,750,89,4895,594,2257
CAL,"7/2/2020 10 a.m. PDT",787,11936,697,749,89,4954,575,2255
CAL,"7/2/2020 11 a.m. PDT",972,12390,707,748,89,4813,566,2256
CAL,"7/2/2020 12 p.m. PDT",1154,12366,773,766,89,4944,620,2257
CAL,"7/2/2020 1 p.m. PDT",1189,12580,844,771,90,5467,927,2255
CAL,"7/2/2020 2 p.m. PDT",1747,12528,869,780,89,6236,948,2257
CAL,"7/2/2020 3 p.m. PDT",2305,12302,988,790,89,6517,1058,2258
CAL,"7/2/2020 4 p.m. PDT",2425,11631,1270,829,88,7715,1117,2262
CAL,"7/2/2020 5 p.m. PDT",2849,10691,1358,829,89,8363,1108,2253
CAL,"7/2/2020 6 p.m. PDT",2859,8382,1567,853,89,9933,1091,2257
CAL,"7/2/2020 7 p.m. PDT",3029,3396,1699,861,89,12311,1076,2260
CAL,"7/2/2020 8 p.m. PDT",3038,188,1784,864,89,13379,1074,2254
CAL,"7/2/2020 9 p.m. PDT",2997,81,1702,875,89,12980,851,2253
CAL,"7/2/2020 10 p.m. PDT",3005,6,1534,860,89,11909,734,2257
CAL,"7/2/2020 11 p.m. PDT",3070,6,866,846,90,9897,579,2260
CAL,"7/3/2020 12 a.m. PDT",3158,8,681,840,89,8125,558,2259
CAL,"7/3/2020 1 a.m. PDT",2859,7,729,836,89,7127,556,2260
CAL,"7/3/2020 2 a.m. PDT",2639,7,702,837,89,6591,559,2262
CAL,"7/3/2020 3 a.m. PDT",2545,6,680,828,90,5715,557,2263
CAL,"7/3/2020 4 a.m. PDT",2148,4,677,815,89,5975,558,2262
CAL,"7/3/2020 5 a.m. PDT",1856,4,678,842,89,5896,558,2262
CAL,"7/3/2020 6 a.m. PDT",1662,319,767,842,89,5862,558,2260
CAL,"7/3/2020 7 a.m. PDT",1319,4330,847,837,89,5037,558,2259
CAL,"7/3/2020 8 a.m. PDT",1083,8845,770,791,89,4137,557,2257
CAL,"7/3/2020 9 a.m. PDT",969,11012,746,748,88,3729,557,2263
CAL,"7/3/2020 10 a.m. PDT",1051,11753,734,745,89,3690,556,2259
CAL,"7/3/2020 11 a.m. PDT",902,12424,752,756,88,4005,557,2255
CAL,"7/3/2020 12 p.m. PDT",1007,12350,771,767,88,4019,578,2260
CAL,"7/3/2020 1 p.m. PDT",1182,12400,819,775,89,4743,766,2257
CAL,"7/3/2020 2 p.m. PDT",1379,12318,862,794,89,5590,793,2254
CAL,"7/3/2020 3 p.m. PDT",1777,12023,950,797,89,6427,901,2255
CAL,"7/3/2020 4 p.m. PDT",2070,11455,1177,833,88,7820,901,2256
CAL,"7/3/2020 5 p.m. PDT",2189,10585,1138,836,88,10234,904,2259
CAL,"7/3/2020 6 p.m. PDT",2371,8341,1467,832,88,12230,903,2258
CAL,"7/3/2020 7 p.m. PDT",2810,3472,1640,837,88,14447,926,2260
CAL,"7/3/2020 8 p.m. PDT",3052,174,1840,854,89,14832,1162,2259
CAL,"7/3/2020 9 p.m. PDT",3437,61,1602,881,88,14516,855,2255
CAL,"7/3/2020 10 p.m. PDT",3427,8,1517,872,89,13748,643,2258
CAL,"7/3/2020 11 p.m. PDT",3468,7,851,869,89,11251,560,2260
CAL,"7/4/2020 12 a.m. PDT",3392,7,773,850,89,8733,558,2259
CAL,"7/4/2020 1 a.m. PDT",3360,8,900,831,89,7131,556,2259
CAL,"7/4/2020 2 a.m. PDT",3331,8,890,819,89,5382,558,2259
CAL,"7/4/2020 3 a.m. PDT",2911,8,886,784,89,4525,557,2260
CAL,"7/4/2020 4 a.m. PDT",2662,6,891,808,89,4549,558,2260
