id,attribute_line_ids/id,categ_id/id,private
SenseMinuts1GB_product_template,SenseMinuts1GB_product_template_attribute_line,somconnexio.mobile_service,False
150Min1GB_product_template,150Min1GB_product_template_attribute_line,somconnexio.mobile_service,False
TrucadesIllimitadesSenseDades_product_template,TrucadesIllimitadesSenseDades_product_template_attribute_line,somconnexio.mobile_service,False
ADSL20MB100MinFixMobile_product_template,ADSL20MB100MinFixMobile_product_template_attribute_line,somconnexio.broadband_adsl_service,False
Fibra100Mb_product_template,Fibra100Mb_product_template_attribute_line,somconnexio.broadband_fiber_service,False
SenseFixFibra100Mb_product_template,SenseFixFibra100Mb_product_template_attribute_line,somconnexio.broadband_fiber_service,False
DadesAddicionals500MB_product_template,DadesAddicionals500MB_product_template_attribute_line,somconnexio.mobile_oneshot_service,False
Internacional100Min_product_template,Internacional100Min_product_template_attribute_line,somconnexio.mobile_additional_service,False
SMSMassius500SMS_product_template,SMSMassius500SMS_product_template_attribute_line,somconnexio.mobile_oneshot_service,False
AltaParellExistent_product_template,,somconnexio.broadband_oneshot_service,False
EnviamentRouter_product_template,,somconnexio.broadband_oneshot_service,False
EnviamentSIM_product_template,,somconnexio.mobile_oneshot_service,False
IPv4Fixa_product_template,,somconnexio.broadband_additional_service,False
RecollidaRouter_product_template,,somconnexio.broadband_oneshot_service,False
SubscripcioMobil_product_template,,somconnexio.invoice_subscription,False
SubscripcioBandaAmpla_product_template,,somconnexio.invoice_subscription,False
SubscripcioBandaAmplaIPFixa_product_template,,somconnexio.invoice_subscription,False
SubscripcioBandaAmplaBordaServeiFibra_product_template,,somconnexio.broadband_fiber_service,True
SubscripcioBandaAmplaBordaDonacioManteniment_product_template,,somconnexio.broadband_fiber_service,True
SubscripcioBandaAmplaBordaServeiFibraLocal_product_template,,somconnexio.broadband_fiber_service,True
"ADSL20MBLaBordaLocalFibra_product_template",,somconnexio.broadband_fiber_service,True
"ADSL20MBLaBordaFibra_product_template",,somconnexio.broadband_fiber_service,True
"ADSL20MBLaBordaManteniment_product_template",,somconnexio.broadband_fiber_service,True
"ADSL20MBLaBordaIPfixa_product_template",,somconnexio.broadband_fiber_service,True
SubscripcioTrucadesInternacionals_product_template,,somconnexio.invoice_subscription,False
ConsumVeuNacional_product_template,,somconnexio.invoice_consumption,False
ConsumVeuInternacional_product_template,,somconnexio.invoice_consumption,False
ConsumVeuEspecial_product_template,,somconnexio.invoice_consumption,False
ConsumVeuNacionalDinsTarifa_product_template,,somconnexio.invoice_consumption,False
ConsumVeuNacionalForaTarifa_product_template,,somconnexio.invoice_consumption,False
ConsumTrucadesInternacionals_product_template,,somconnexio.invoice_consumption,False
ConsumTrucadesEspecial_product_template,,somconnexio.invoice_consumption,False
ConsumTrucadesRoaming_product_template,,somconnexio.invoice_consumption,False
ConsumTrucadesSomConnexio_product_template,,somconnexio.invoice_consumption,False
ConsumDadesIncloses_product_template,,somconnexio.invoice_consumption,False
ConsumDadesNoIncloses_product_template,,somconnexio.invoice_consumption,False
ConsumDadesRoaming_product_template,,somconnexio.invoice_consumption,False
ConsumSMSNacional_product_template,,somconnexio.invoice_consumption,False
ConsumSMSInternacional_product_template,,somconnexio.invoice_consumption,False
ConsumSMSRoaming_product_template,,somconnexio.invoice_consumption,False
OneShotBillableProduct_product_template,,somconnexio.invoice_oneshot,False
EnviamentSIMTrebolMRW_product_template,,somconnexio.mobile_oneshot_service,False
EnviamentSIMCleta_product_template,,somconnexio.mobile_oneshot_service,False
EnviamentSIMEntregaMateixDia_product_template,,somconnexio.mobile_oneshot_service,False
EnviamentSIMUrgentBalears_product_template,,somconnexio.mobile_oneshot_service,False
EnviamentSIMUrgentCanaries_product_template,,somconnexio.mobile_oneshot_service,False
EnviamentSIMSenseCost_product_template,,somconnexio.mobile_oneshot_service,False
RouterModelNCDS124WSU_product_template,,somconnexio.router_category,False
RouterModelNCDS224WTV_product_template,,somconnexio.router_category,False
RouterModelHG8245Q2_product_template,,somconnexio.router_category,False
100MinSenseDades_product_template,100MinSenseDades_product_template_attribute_line,somconnexio.mobile_service,False
200MinSenseDades_product_template,200MinSenseDades_product_template_attribute_line,somconnexio.mobile_service,False
FibraGretaSenseMinuts1GB_product_template,"FibraGretaSenseMinuts1GB_product_template_attribute_line,FibraGretaSenseMinuts1GBInfrastructure_product_template_attribute_line",somconnexio.broadband_fiber_service,True
