"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
CAL,"11/1/2020 12 a.m. PDT",426,4,1911,604,46,12211,1493,0
CAL,"11/1/2020 1 a.m. PDT",423,3,1678,802,46,11332,1496,0
CAL,"11/1/2020 1 a.m. PST",519,3,1408,606,46,11128,761,0
CAL,"11/1/2020 2 a.m. PST",413,3,1070,792,46,11866,724,0
CAL,"11/1/2020 3 a.m. PST",372,3,1309,805,46,11713,642,0
CAL,"11/1/2020 4 a.m. PST",366,3,1246,810,46,11825,597,0
CAL,"11/1/2020 5 a.m. PST",401,3,1317,847,46,12244,704,0
CAL,"11/1/2020 6 a.m. PST",412,3,1569,802,46,12564,1057,0
CAL,"11/1/2020 7 a.m. PST",403,1857,1432,806,46,11221,1063,0
CAL,"11/1/2020 8 a.m. PST",416,6190,1084,907,46,9367,673,0
CAL,"11/1/2020 9 a.m. PST",242,7906,753,841,47,8708,565,0
CAL,"11/1/2020 10 a.m. PST",307,7455,860,789,48,8535,567,0
CAL,"11/1/2020 11 a.m. PST",327,8191,861,744,48,8498,566,0
CAL,"11/1/2020 12 p.m. PST",416,9515,808,728,48,8303,566,0
CAL,"11/1/2020 1 p.m. PST",673,9230,875,769,47,8535,564,0
CAL,"11/1/2020 2 p.m. PST",728,7861,1106,770,47,10122,598,0
CAL,"11/1/2020 3 p.m. PST",677,5931,2055,850,63,11548,753,0
CAL,"11/1/2020 4 p.m. PST",522,2293,2510,813,61,14969,1224,0
CAL,"11/1/2020 5 p.m. PST",531,1803,3019,834,61,16426,1655,0
CAL,"11/1/2020 6 p.m. PST",442,11,3657,814,68,17206,1777,0
CAL,"11/1/2020 7 p.m. PST",457,7,3400,826,82,15904,1780,0
CAL,"11/1/2020 8 p.m. PST",408,7,3359,860,87,15541,1782,0
CAL,"11/1/2020 9 p.m. PST",395,7,2554,826,87,14693,1749,0
CAL,"11/1/2020 10 p.m. PST",383,7,1950,843,87,13892,1636,0
CAL,"11/1/2020 11 p.m. PST",421,7,1727,873,88,12556,1493,0
CAL,"11/2/2020 12 a.m. PST",410,4,1165,564,88,10994,15,0
CAL,"11/2/2020 1 a.m. PST",392,5,773,783,88,11590,795,0
CAL,"11/2/2020 2 a.m. PST",404,5,762,777,88,11204,755,0
CAL,"11/2/2020 3 a.m. PST",409,5,788,776,88,11307,735,0
CAL,"11/2/2020 4 a.m. PST",436,4,907,797,88,11452,631,0
CAL,"11/2/2020 5 a.m. PST",449,4,1146,799,87,12187,710,0
CAL,"11/2/2020 6 a.m. PST",420,4,1131,832,88,13247,1114,0
CAL,"11/2/2020 7 a.m. PST",375,1678,1725,847,88,12986,1264,0
CAL,"11/2/2020 8 a.m. PST",384,6765,1401,842,88,11972,880,0
CAL,"11/2/2020 9 a.m. PST",415,8307,947,753,88,11076,729,0
CAL,"11/2/2020 10 a.m. PST",469,9130,937,718,87,10430,895,0
CAL,"11/2/2020 11 a.m. PST",515,9178,965,742,87,10080,903,0
CAL,"11/2/2020 12 p.m. PST",527,9504,1236,737,87,10609,961,0
CAL,"11/2/2020 1 p.m. PST",427,9034,1364,776,86,11411,1338,0
CAL,"11/2/2020 2 p.m. PST",306,8901,1489,759,86,13172,1491,0
CAL,"11/2/2020 3 p.m. PST",367,7522,1744,748,87,14640,1756,0
CAL,"11/2/2020 4 p.m. PST",314,2786,2788,822,87,17997,1790,0
CAL,"11/2/2020 5 p.m. PST",381,386,3257,856,86,20160,1795,0
CAL,"11/2/2020 6 p.m. PST",332,19,3574,855,87,20435,1799,0
CAL,"11/2/2020 7 p.m. PST",404,19,3438,839,86,18122,1795,0
CAL,"11/2/2020 8 p.m. PST",564,17,2822,783,86,17673,1786,26
CAL,"11/2/2020 9 p.m. PST",780,7,2072,784,85,16105,1780,29
CAL,"11/2/2020 10 p.m. PST",819,7,1389,793,87,15104,1770,28
CAL,"11/2/2020 11 p.m. PST",738,7,1237,849,88,13378,1750,28
CAL,"11/3/2020 12 a.m. PST",964,8,1263,820,87,12099,1647,51
CAL,"11/3/2020 1 a.m. PST",728,4,1168,761,87,11555,1509,156
CAL,"11/3/2020 2 a.m. PST",711,3,951,717,87,11151,1476,150
CAL,"11/3/2020 3 a.m. PST",618,3,956,704,88,11247,1403,120
CAL,"11/3/2020 4 a.m. PST",592,4,785,719,86,11853,1373,119
CAL,"11/3/2020 5 a.m. PST",574,3,1323,759,88,12060,1482,129
CAL,"11/3/2020 6 a.m. PST",732,3,1544,816,87,13058,1473,128
CAL,"11/3/2020 7 a.m. PST",583,2287,1511,823,88,12352,1604,132
CAL,"11/3/2020 8 a.m. PST",593,6318,1495,875,88,11053,1245,130
CAL,"11/3/2020 9 a.m. PST",428,8532,1064,704,89,10325,781,129
CAL,"11/3/2020 10 a.m. PST",292,9123,981,691,89,10500,726,129
CAL,"11/3/2020 11 a.m. PST",360,8772,965,703,87,10321,925,130
CAL,"11/3/2020 12 p.m. PST",329,8874,1000,724,88,10464,1142,128
CAL,"11/3/2020 1 p.m. PST",312,9445,1063,724,89,11022,1402,128
CAL,"11/3/2020 2 p.m. PST",511,8460,1386,741,88,11658,1696,130
CAL,"11/3/2020 3 p.m. PST",1004,7187,1754,775,88,12899,1768,130
CAL,"11/3/2020 4 p.m. PST",1356,2591,2169,768,88,16584,1798,129
CAL,"11/3/2020 5 p.m. PST",1875,2001,3004,811,88,19129,1800,131
CAL,"11/3/2020 6 p.m. PST",2567,13,3319,787,88,18314,1638,210
CAL,"11/3/2020 7 p.m. PST",2168,11,3260,872,87,16742,1755,330
CAL,"11/3/2020 8 p.m. PST",1718,9,2562,799,88,16617,1777,351
CAL,"11/3/2020 9 p.m. PST",1818,9,1950,803,89,15514,1770,360
CAL,"11/3/2020 10 p.m. PST",1971,9,1292,853,89,13853,1775,373
CAL,"11/3/2020 11 p.m. PST",1542,9,1252,797,87,12104,1772,366
CAL,"11/4/2020 12 a.m. PST",1397,9,1181,745,88,10978,1736,361
CAL,"11/4/2020 1 a.m. PST",1456,4,1043,766,89,9824,1663,361
CAL,"11/4/2020 2 a.m. PST",1494,4,701,777,89,9692,1633,363
CAL,"11/4/2020 3 a.m. PST",1175,4,710,779,88,9846,1623,363
CAL,"11/4/2020 4 a.m. PST",923,4,851,803,88,10338,1651,364
CAL,"11/4/2020 5 a.m. PST",702,3,907,813,89,10750,1663,362
CAL,"11/4/2020 6 a.m. PST",729,3,1337,899,89,12312,1699,363
CAL,"11/4/2020 7 a.m. PST",584,2235,1309,923,89,11265,1647,363
CAL,"11/4/2020 8 a.m. PST",275,7149,1017,873,89,9423,1466,364
CAL,"11/4/2020 9 a.m. PST",146,9063,874,846,88,8980,969,365
CAL,"11/4/2020 10 a.m. PST",119,9652,1156,762,85,8339,814,364
CAL,"11/4/2020 11 a.m. PST",205,9632,1092,808,88,8505,974,364
CAL,"11/4/2020 12 p.m. PST",243,9707,1048,774,88,9147,1169,365
CAL,"11/4/2020 1 p.m. PST",271,9775,1251,740,88,9905,1564,364
CAL,"11/4/2020 2 p.m. PST",269,9584,1630,804,88,11738,1658,355
CAL,"11/4/2020 3 p.m. PST",434,8040,1876,828,88,14129,1673,376
CAL,"11/4/2020 4 p.m. PST",300,2599,3223,847,88,18531,1685,377
CAL,"11/4/2020 5 p.m. PST",365,69,3753,852,88,21528,1671,378
CAL,"11/4/2020 6 p.m. PST",380,16,4015,854,88,21093,1635,379
CAL,"11/4/2020 7 p.m. PST",344,24,3735,833,88,19517,1619,379
CAL,"11/4/2020 8 p.m. PST",405,15,3167,815,89,18559,1617,380
CAL,"11/4/2020 9 p.m. PST",320,8,2511,818,88,17065,1617,378
CAL,"11/4/2020 10 p.m. PST",287,8,1920,860,88,15373,1639,373
CAL,"11/4/2020 11 p.m. PST",307,7,1259,818,88,14159,1725,374
CAL,"11/5/2020 12 a.m. PST",335,7,1146,824,89,12977,1734,391
CAL,"11/5/2020 1 a.m. PST",389,4,1021,781,89,11982,1731,397
CAL,"11/5/2020 2 a.m. PST",385,4,988,775,88,11452,1687,403
CAL,"11/5/2020 3 a.m. PST",478,4,649,785,88,11585,1609,399
CAL,"11/5/2020 4 a.m. PST",338,4,654,792,89,11712,1600,403
CAL,"11/5/2020 5 a.m. PST",416,4,817,786,88,12392,1671,405
CAL,"11/5/2020 6 a.m. PST",515,4,1235,849,87,12897,1756,403
CAL,"11/5/2020 7 a.m. PST",389,2059,1399,853,89,12775,1758,402
CAL,"11/5/2020 8 a.m. PST",279,6662,1178,885,89,10471,1501,400
CAL,"11/5/2020 9 a.m. PST",186,8254,889,820,89,10243,1088,428
CAL,"11/5/2020 10 a.m. PST",143,8341,965,912,89,10348,1330,461
CAL,"11/5/2020 11 a.m. PST",175,8216,1056,999,89,11351,1328,492
CAL,"11/5/2020 12 p.m. PST",104,7890,1346,951,90,12121,1624,522
CAL,"11/5/2020 1 p.m. PST",103,5950,2505,944,90,14370,1718,553
CAL,"11/5/2020 2 p.m. PST",67,5704,1768,949,90,16859,1771,582
CAL,"11/5/2020 3 p.m. PST",306,2770,2105,904,89,19716,1771,614
CAL,"11/5/2020 4 p.m. PST",300,862,2662,920,90,20950,1793,631
CAL,"11/5/2020 5 p.m. PST",347,672,3215,940,90,22130,1796,660
CAL,"11/5/2020 6 p.m. PST",277,5,3476,872,89,21620,1795,693
CAL,"11/5/2020 7 p.m. PST",328,5,3276,851,89,20360,1800,723
CAL,"11/5/2020 8 p.m. PST",395,5,3037,898,90,18801,1790,739
CAL,"11/5/2020 9 p.m. PST",473,5,2155,843,89,17296,1753,740
CAL,"11/5/2020 10 p.m. PST",780,4,1493,866,89,16125,1719,764
CAL,"11/5/2020 11 p.m. PST",1052,4,1355,842,89,13976,1713,794
CAL,"11/6/2020 12 a.m. PST",1222,4,1184,913,89,12439,1625,820
CAL,"11/6/2020 1 a.m. PST",1195,3,703,924,89,12083,1410,853
CAL,"11/6/2020 2 a.m. PST",1167,3,341,813,89,12080,1252,883
CAL,"11/6/2020 3 a.m. PST",1310,3,351,810,89,11541,1062,915
CAL,"11/6/2020 4 a.m. PST",1442,3,342,773,89,11646,1030,950
CAL,"11/6/2020 5 a.m. PST",1490,3,738,826,89,12214,1028,985
CAL,"11/6/2020 6 a.m. PST",1578,3,1343,844,89,12389,1269,989
CAL,"11/6/2020 7 a.m. PST",1620,1389,1015,819,89,13312,1378,990
CAL,"11/6/2020 8 a.m. PST",1385,4622,901,803,89,12796,1215,992
CAL,"11/6/2020 9 a.m. PST",2088,6236,1083,807,85,10807,723,994
CAL,"11/6/2020 10 a.m. PST",2213,6682,1026,808,89,9784,712,995
CAL,"11/6/2020 11 a.m. PST",1969,6383,1060,833,89,10623,565,994
CAL,"11/6/2020 12 p.m. PST",2455,6652,1053,837,90,10554,657,994
CAL,"11/6/2020 1 p.m. PST",2860,6349,1204,876,90,10437,1136,984
CAL,"11/6/2020 2 p.m. PST",2708,6427,1239,847,89,11104,1284,984
CAL,"11/6/2020 3 p.m. PST",3001,4285,1381,807,90,12788,1356,985
CAL,"11/6/2020 4 p.m. PST",2619,1291,2225,829,89,15222,1543,985
CAL,"11/6/2020 5 p.m. PST",2360,73,3221,815,90,16989,1575,998
CAL,"11/6/2020 6 p.m. PST",2906,26,3246,852,90,16940,1576,1002
