"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
NE,"3/1/2020 12 a.m. EST",709,0,1200,704,0,6320,0,3342
NE,"3/1/2020 1 a.m. EST",0,0,0,0,0,0,0,0
NE,"3/1/2020 2 a.m. EST",737,0,815,682,0,4113,5,3314
NE,"3/1/2020 3 a.m. EST",719,0,816,672,0,4167,8,3341
NE,"3/1/2020 4 a.m. EST",732,0,771,665,0,4237,4,3342
NE,"3/1/2020 5 a.m. EST",749,0,743,669,0,4266,2,3341
NE,"3/1/2020 6 a.m. EST",750,0,787,666,0,4397,0,3358
NE,"3/1/2020 7 a.m. EST",683,3,825,657,0,5046,0,3341
NE,"3/1/2020 8 a.m. EST",649,35,923,660,0,4911,0,3345
NE,"3/1/2020 9 a.m. EST",653,77,934,665,0,5035,0,3343
NE,"3/1/2020 10 a.m. EST",653,104,896,663,0,4889,1,3341
NE,"3/1/2020 11 a.m. EST",665,130,832,661,0,4816,0,3339
NE,"3/1/2020 12 p.m. EST",642,154,803,653,0,4128,0,3309
NE,"3/1/2020 1 p.m. EST",732,161,794,664,0,4160,0,3347
NE,"3/1/2020 2 p.m. EST",741,169,788,661,0,3962,0,3340
NE,"3/1/2020 3 p.m. EST",665,157,754,666,0,4141,0,3346
NE,"3/1/2020 4 p.m. EST",654,118,759,674,0,4571,0,3364
NE,"3/1/2020 5 p.m. EST",601,52,1025,677,0,5505,0,3370
NE,"3/1/2020 6 p.m. EST",508,4,1358,683,0,6157,0,3369
NE,"3/1/2020 7 p.m. EST",511,0,1751,674,0,6510,0,3355
NE,"3/1/2020 8 p.m. EST",548,0,1720,659,0,6345,0,3333
NE,"3/1/2020 9 p.m. EST",517,0,1579,644,0,6033,0,3313
NE,"3/1/2020 10 p.m. EST",488,0,1158,635,0,5478,0,3301
NE,"3/1/2020 11 p.m. EST",381,0,944,612,0,4847,0,3318
NE,"3/2/2020 12 a.m. EST",260,0,935,611,0,4243,0,3314
NE,"3/2/2020 1 a.m. EST",206,0,862,608,0,3889,0,3322
NE,"3/2/2020 2 a.m. EST",174,0,779,608,0,3664,0,3328
NE,"3/2/2020 3 a.m. EST",193,0,719,619,0,3716,0,3351
NE,"3/2/2020 4 a.m. EST",216,0,715,619,0,3819,0,3358
NE,"3/2/2020 5 a.m. EST",249,0,724,631,0,4206,0,3401
NE,"3/2/2020 6 a.m. EST",277,0,1011,632,0,5518,0,3422
NE,"3/2/2020 7 a.m. EST",356,2,1651,637,0,6283,0,3382
NE,"3/2/2020 8 a.m. EST",416,28,1593,637,0,6340,8,3328
NE,"3/2/2020 9 a.m. EST",439,69,1294,627,0,6143,7,3325
NE,"3/2/2020 10 a.m. EST",457,95,987,639,0,6222,0,3343
NE,"3/2/2020 11 a.m. EST",517,117,870,627,0,6217,0,3349
NE,"3/2/2020 12 p.m. EST",583,117,753,624,0,6305,0,3350
NE,"3/2/2020 1 p.m. EST",537,154,729,620,0,5908,0,3327
NE,"3/2/2020 2 p.m. EST",507,154,714,615,0,5636,0,3328
NE,"3/2/2020 3 p.m. EST",530,138,725,629,0,5412,0,3351
NE,"3/2/2020 4 p.m. EST",528,100,736,623,0,5656,0,3354
NE,"3/2/2020 5 p.m. EST",561,40,859,615,25,6460,0,3372
NE,"3/2/2020 6 p.m. EST",621,3,1167,629,0,7043,0,3363
NE,"3/2/2020 7 p.m. EST",661,0,1549,623,0,7192,8,3331
NE,"3/2/2020 8 p.m. EST",668,0,1199,622,0,7002,6,3321
NE,"3/2/2020 9 p.m. EST",609,0,991,620,0,6741,0,3332
NE,"3/2/2020 10 p.m. EST",600,0,844,612,0,5970,0,3305
NE,"3/2/2020 11 p.m. EST",611,0,739,612,0,4656,0,3294
NE,"3/3/2020 12 a.m. EST",645,0,723,620,0,3619,0,3308
NE,"3/3/2020 1 a.m. EST",574,0,704,625,0,3096,0,3332
NE,"3/3/2020 2 a.m. EST",569,0,702,634,0,3049,0,3352
NE,"3/3/2020 3 a.m. EST",536,0,688,623,0,3075,0,3336
NE,"3/3/2020 4 a.m. EST",469,0,687,624,0,3109,0,3336
NE,"3/3/2020 5 a.m. EST",407,0,708,602,0,3174,0,3357
NE,"3/3/2020 6 a.m. EST",320,0,719,612,0,3879,0,3411
NE,"3/3/2020 7 a.m. EST",270,1,1071,626,0,4996,0,3396
NE,"3/3/2020 8 a.m. EST",266,31,1237,606,0,5345,0,3336
NE,"3/3/2020 9 a.m. EST",170,79,997,608,0,5172,0,3337
NE,"3/3/2020 10 a.m. EST",93,123,934,596,34,4512,0,3320
NE,"3/3/2020 11 a.m. EST",86,157,844,606,14,4493,0,3348
NE,"3/3/2020 12 p.m. EST",60,166,784,590,0,4530,0,3339
NE,"3/3/2020 1 p.m. EST",71,155,745,600,0,4858,0,3373
NE,"3/3/2020 2 p.m. EST",56,92,765,596,0,5295,0,3378
NE,"3/3/2020 3 p.m. EST",56,64,885,591,0,5744,0,3362
NE,"3/3/2020 4 p.m. EST",86,48,1022,597,0,5763,0,3361
NE,"3/3/2020 5 p.m. EST",148,17,1302,605,0,6126,0,3370
NE,"3/3/2020 6 p.m. EST",263,2,1566,619,0,6473,0,3370
NE,"3/3/2020 7 p.m. EST",427,0,1843,618,0,6523,0,3351
NE,"3/3/2020 8 p.m. EST",526,0,1610,617,0,6334,0,3325
NE,"3/3/2020 9 p.m. EST",570,0,1362,610,0,6000,0,3336
NE,"3/3/2020 10 p.m. EST",614,0,973,619,0,5759,0,3321
NE,"3/3/2020 11 p.m. EST",560,0,759,625,0,5040,0,3325
NE,"3/4/2020 12 a.m. EST",510,0,747,632,0,4229,0,3334
NE,"3/4/2020 1 a.m. EST",469,0,721,619,0,3723,0,3320
NE,"3/4/2020 2 a.m. EST",450,0,713,617,0,3364,0,3327
NE,"3/4/2020 3 a.m. EST",465,0,731,626,0,3084,0,3337
NE,"3/4/2020 4 a.m. EST",461,0,732,625,0,3189,0,3353
NE,"3/4/2020 5 a.m. EST",623,0,732,597,0,3502,4,3372
NE,"3/4/2020 6 a.m. EST",662,0,747,589,0,4311,4,3371
NE,"3/4/2020 7 a.m. EST",726,2,1075,592,0,5126,3,3363
NE,"3/4/2020 8 a.m. EST",817,23,1469,613,0,5498,2,3346
NE,"3/4/2020 9 a.m. EST",880,56,1306,623,0,5484,1,3332
NE,"3/4/2020 10 a.m. EST",977,85,1103,624,0,5420,0,3348
NE,"3/4/2020 11 a.m. EST",977,83,1062,621,0,5455,0,3352
NE,"3/4/2020 12 p.m. EST",1000,88,893,638,27,5350,0,3339
NE,"3/4/2020 1 p.m. EST",1048,119,777,643,0,4905,0,3337
NE,"3/4/2020 2 p.m. EST",1047,116,808,630,0,4339,0,3316
NE,"3/4/2020 3 p.m. EST",1094,124,835,642,0,4502,0,3366
NE,"3/4/2020 4 p.m. EST",1093,102,833,624,0,5176,0,3358
NE,"3/4/2020 5 p.m. EST",1109,48,890,626,0,5940,0,3358
NE,"3/4/2020 6 p.m. EST",1122,7,1211,619,0,6562,0,3375
NE,"3/4/2020 7 p.m. EST",1091,0,1389,608,0,6279,0,3329
NE,"3/4/2020 8 p.m. EST",1069,0,1291,616,0,6314,0,3343
NE,"3/4/2020 9 p.m. EST",1046,0,1166,629,0,5843,0,3310
NE,"3/4/2020 10 p.m. EST",1069,0,875,628,0,5401,0,3313
NE,"3/4/2020 11 p.m. EST",1049,0,795,622,0,4520,0,3304
NE,"3/5/2020 12 a.m. EST",1049,0,749,624,0,3648,0,3310
NE,"3/5/2020 1 a.m. EST",1023,0,748,635,0,2762,0,3319
NE,"3/5/2020 2 a.m. EST",983,0,753,624,0,2630,0,3328
NE,"3/5/2020 3 a.m. EST",991,0,756,631,0,2693,0,3354
NE,"3/5/2020 4 a.m. EST",1033,0,762,630,0,2647,0,3335
NE,"3/5/2020 5 a.m. EST",1068,0,774,641,0,2887,0,3363
NE,"3/5/2020 6 a.m. EST",1066,0,802,639,0,3769,0,3382
NE,"3/5/2020 7 a.m. EST",1049,3,1098,643,0,4425,0,3372
NE,"3/5/2020 8 a.m. EST",1032,39,1218,655,0,4558,0,3335
NE,"3/5/2020 9 a.m. EST",1024,112,1002,673,0,4148,1,3322
NE,"3/5/2020 10 a.m. EST",1027,163,877,689,0,3722,0,3352
NE,"3/5/2020 11 a.m. EST",1018,170,863,694,0,3431,0,3337
NE,"3/5/2020 12 p.m. EST",959,169,816,679,0,2907,0,3304
NE,"3/5/2020 1 p.m. EST",936,175,846,691,0,2972,0,3350
NE,"3/5/2020 2 p.m. EST",909,174,880,690,0,3111,0,3352
NE,"3/5/2020 3 p.m. EST",862,161,901,699,0,3346,0,3361
NE,"3/5/2020 4 p.m. EST",842,125,910,709,0,3612,0,3350
NE,"3/5/2020 5 p.m. EST",771,59,1069,706,0,4249,0,3381
NE,"3/5/2020 6 p.m. EST",647,6,1393,708,0,4927,0,3378
NE,"3/5/2020 7 p.m. EST",574,0,1789,711,0,5752,0,3338
NE,"3/5/2020 8 p.m. EST",519,0,1754,710,0,5730,0,3339
NE,"3/5/2020 9 p.m. EST",485,0,1606,701,0,5648,0,3337
NE,"3/5/2020 10 p.m. EST",437,0,1275,704,0,5100,0,3297
NE,"3/5/2020 11 p.m. EST",318,0,926,695,0,4389,0,3269
NE,"3/6/2020 12 a.m. EST",220,0,809,692,0,3542,0,3308
NE,"3/6/2020 1 a.m. EST",188,0,824,710,0,3500,0,3355
NE,"3/6/2020 2 a.m. EST",159,0,821,708,0,3400,0,3355
NE,"3/6/2020 3 a.m. EST",126,0,809,695,0,3436,0,3327
NE,"3/6/2020 4 a.m. EST",133,0,816,700,0,3295,0,3357
NE,"3/6/2020 5 a.m. EST",133,0,829,690,0,3473,0,3340
NE,"3/6/2020 6 a.m. EST",143,0,940,711,0,4109,0,3414
NE,"3/6/2020 7 a.m. EST",174,3,1333,699,0,5099,0,3379
NE,"3/6/2020 8 a.m. EST",169,36,1549,694,0,5281,0,3336
NE,"3/6/2020 9 a.m. EST",150,100,1191,694,0,5299,0,3336
NE,"3/6/2020 10 a.m. EST",128,127,1030,692,0,5178,0,3345
NE,"3/6/2020 11 a.m. EST",142,143,968,688,0,5167,0,3356
NE,"3/6/2020 12 p.m. EST",138,145,916,688,10,5188,0,3354
NE,"3/6/2020 1 p.m. EST",126,113,917,698,1,5759,0,3378
NE,"3/6/2020 2 p.m. EST",122,68,989,699,0,6204,0,3335
NE,"3/6/2020 3 p.m. EST",164,34,1125,711,0,6331,0,3381
NE,"3/6/2020 4 p.m. EST",241,20,1237,705,2,6319,0,3363
NE,"3/6/2020 5 p.m. EST",328,8,1343,714,7,6625,0,3368
NE,"3/6/2020 6 p.m. EST",384,1,1554,718,5,6612,0,3353
NE,"3/6/2020 7 p.m. EST",495,0,1535,716,0,6493,0,3327
NE,"3/6/2020 8 p.m. EST",639,0,1396,709,0,5825,0,3331
NE,"3/6/2020 9 p.m. EST",726,0,1110,690,0,5513,0,3326
NE,"3/6/2020 10 p.m. EST",700,0,969,706,0,5321,0,3345
NE,"3/6/2020 11 p.m. EST",652,0,867,704,0,4737,0,3335
NE,"3/7/2020 12 a.m. EST",683,0,863,700,0,4423,2,3342
