"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
NE,"1/1/2020 12 a.m. EST",130,0,733,683,0,3903,1,3325
NE,"1/1/2020 1 a.m. EST",181,0,674,666,0,3887,2,3341
NE,"1/1/2020 2 a.m. EST",203,0,655,660,0,3562,1,3316
NE,"1/1/2020 3 a.m. EST",236,0,678,655,0,3175,0,3311
NE,"1/1/2020 4 a.m. EST",270,0,682,644,0,3107,2,3342
NE,"1/1/2020 5 a.m. EST",355,0,688,648,0,3131,3,3342
NE,"1/1/2020 6 a.m. EST",386,0,672,660,0,3147,6,3345
NE,"1/1/2020 7 a.m. EST",372,0,688,661,0,3373,3,3332
NE,"1/1/2020 8 a.m. EST",418,2,799,655,0,3198,5,3328
NE,"1/1/2020 9 a.m. EST",430,20,762,647,0,3384,12,3334
NE,"1/1/2020 10 a.m. EST",405,46,768,648,0,3546,9,3336
NE,"1/1/2020 11 a.m. EST",458,74,755,658,0,3807,5,3353
NE,"1/1/2020 12 p.m. EST",522,82,736,660,0,3996,9,3340
NE,"1/1/2020 1 p.m. EST",558,76,739,651,0,4124,8,3330
NE,"1/1/2020 2 p.m. EST",562,63,755,664,0,4497,8,3355
NE,"1/1/2020 3 p.m. EST",556,45,752,661,0,4874,5,3344
NE,"1/1/2020 4 p.m. EST",560,16,1016,672,0,5187,2,3358
NE,"1/1/2020 5 p.m. EST",620,1,1536,684,0,5658,0,3346
NE,"1/1/2020 6 p.m. EST",628,0,1851,699,0,6216,1,3344
NE,"1/1/2020 7 p.m. EST",644,0,1800,697,0,5993,2,3321
NE,"1/1/2020 8 p.m. EST",683,0,1348,689,0,5892,3,3312
NE,"1/1/2020 9 p.m. EST",689,0,1007,688,0,5606,1,3313
NE,"1/1/2020 10 p.m. EST",688,0,890,668,0,5047,1,3308
NE,"1/1/2020 11 p.m. EST",670,0,723,656,0,4444,1,3306
NE,"1/2/2020 12 a.m. EST",636,0,683,650,0,4023,0,3297
NE,"1/2/2020 1 a.m. EST",637,0,644,661,0,3526,0,3340
NE,"1/2/2020 2 a.m. EST",618,0,641,663,0,3348,1,3323
NE,"1/2/2020 3 a.m. EST",653,0,677,655,0,3192,1,3329
NE,"1/2/2020 4 a.m. EST",654,0,684,661,0,3310,1,3353
NE,"1/2/2020 5 a.m. EST",647,0,651,662,0,3723,2,3354
NE,"1/2/2020 6 a.m. EST",630,0,670,634,0,4380,0,3345
NE,"1/2/2020 7 a.m. EST",582,0,941,642,0,5272,0,3376
NE,"1/2/2020 8 a.m. EST",536,1,1366,637,0,5612,0,3330
NE,"1/2/2020 9 a.m. EST",490,16,1265,639,0,5766,0,3333
NE,"1/2/2020 10 a.m. EST",444,39,1127,650,0,5605,0,3315
NE,"1/2/2020 11 a.m. EST",397,72,938,657,0,5543,0,3334
NE,"1/2/2020 12 p.m. EST",373,103,829,630,6,5260,0,3317
NE,"1/2/2020 1 p.m. EST",307,111,775,626,3,4876,3,3314
NE,"1/2/2020 2 p.m. EST",261,103,785,624,0,4853,1,3341
NE,"1/2/2020 3 p.m. EST",217,60,771,634,47,5285,1,3367
NE,"1/2/2020 4 p.m. EST",193,15,794,633,198,5905,2,3387
NE,"1/2/2020 5 p.m. EST",185,1,1233,649,470,6291,1,3388
NE,"1/2/2020 6 p.m. EST",201,0,2016,666,497,6795,5,3364
NE,"1/2/2020 7 p.m. EST",257,0,1871,652,489,6565,4,3313
NE,"1/2/2020 8 p.m. EST",268,0,1551,640,488,6361,4,3315
NE,"1/2/2020 9 p.m. EST",291,0,1231,621,487,5887,0,3304
NE,"1/2/2020 10 p.m. EST",337,0,803,604,208,5560,2,3307
NE,"1/2/2020 11 p.m. EST",330,0,748,593,1,4825,1,3304
NE,"1/3/2020 12 a.m. EST",299,0,733,602,0,4267,1,3296
NE,"1/3/2020 1 a.m. EST",314,0,669,590,0,3886,1,3335
NE,"1/3/2020 2 a.m. EST",338,0,622,570,0,3679,0,3300
NE,"1/3/2020 3 a.m. EST",366,0,618,574,0,3473,3,3321
NE,"1/3/2020 4 a.m. EST",406,0,611,577,0,3512,4,3346
NE,"1/3/2020 5 a.m. EST",473,0,626,579,0,3599,0,3331
NE,"1/3/2020 6 a.m. EST",517,0,692,584,62,4368,0,3369
NE,"1/3/2020 7 a.m. EST",483,0,894,589,159,5246,0,3370
NE,"1/3/2020 8 a.m. EST",427,1,802,587,165,5763,1,3342
