"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
NE,"9/1/2020 12 a.m. EDT",129,0,204,626,0,5276,10,3295
NE,"9/1/2020 1 a.m. EDT",165,0,209,621,0,5048,9,3317
NE,"9/1/2020 2 a.m. EDT",177,0,210,618,0,4766,10,3302
NE,"9/1/2020 3 a.m. EDT",167,0,206,610,0,4440,9,3255
NE,"9/1/2020 4 a.m. EDT",152,0,208,619,0,4368,6,3309
NE,"9/1/2020 5 a.m. EDT",149,0,208,619,0,4392,4,3321
NE,"9/1/2020 6 a.m. EDT",173,0,213,630,0,4839,1,3371
NE,"9/1/2020 7 a.m. EDT",193,3,219,591,0,5355,2,3334
NE,"9/1/2020 8 a.m. EDT",202,24,213,583,0,6228,1,3381
NE,"9/1/2020 9 a.m. EDT",168,71,205,585,0,6799,1,3327
NE,"9/1/2020 10 a.m. EDT",140,107,210,600,3,6750,1,3313
NE,"9/1/2020 11 a.m. EDT",174,140,296,607,17,6703,3,3333
NE,"9/1/2020 12 p.m. EDT",219,161,385,600,0,6575,0,3315
NE,"9/1/2020 1 p.m. EDT",258,155,384,604,0,6805,0,3324
NE,"9/1/2020 2 p.m. EDT",287,164,352,605,0,7113,1,3318
NE,"9/1/2020 3 p.m. EDT",312,157,380,612,0,7213,0,3322
NE,"9/1/2020 4 p.m. EDT",344,140,460,610,0,7420,0,3322
NE,"9/1/2020 5 p.m. EDT",331,116,804,605,0,7508,0,3316
NE,"9/1/2020 6 p.m. EDT",334,61,975,606,0,7830,0,3328
NE,"9/1/2020 7 p.m. EDT",359,16,875,613,0,7897,0,3304
NE,"9/1/2020 8 p.m. EDT",425,1,620,615,0,7695,0,3307
NE,"9/1/2020 9 p.m. EDT",470,0,498,613,0,7394,0,3295
NE,"9/1/2020 10 p.m. EDT",462,0,451,606,0,6532,0,3277
NE,"9/1/2020 11 p.m. EDT",462,0,213,607,0,5911,0,3285
NE,"9/2/2020 12 a.m. EDT",433,0,203,605,0,5223,0,3268
NE,"9/2/2020 1 a.m. EDT",436,0,202,619,0,4542,0,3264
NE,"9/2/2020 2 a.m. EDT",422,0,210,640,0,4513,0,3368
NE,"9/2/2020 3 a.m. EDT",414,0,209,641,0,4653,0,3328
NE,"9/2/2020 4 a.m. EDT",406,0,216,653,0,4924,0,3327
NE,"9/2/2020 5 a.m. EDT",358,0,213,635,0,4875,0,3289
NE,"9/2/2020 6 a.m. EDT",363,0,212,645,0,5247,0,3326
NE,"9/2/2020 7 a.m. EDT",396,0,214,648,0,5861,0,3355
NE,"9/2/2020 8 a.m. EDT",444,6,215,628,0,6540,0,3345
NE,"9/2/2020 9 a.m. EDT",419,12,269,600,0,7020,0,3322
NE,"9/2/2020 10 a.m. EDT",400,22,425,611,7,6836,0,3306
NE,"9/2/2020 11 a.m. EDT",431,29,631,637,5,6948,0,3328
NE,"9/2/2020 12 p.m. EDT",443,38,640,628,0,6987,0,3311
NE,"9/2/2020 1 p.m. EDT",463,31,558,630,0,7194,0,3320
NE,"9/2/2020 2 p.m. EDT",530,29,383,635,0,7374,0,3313
